id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20905_4224,52.2625,10.56,5.1,37.5,26.4,36.1,28.8,76.2,7.43
A20876_4335,52.19,10.8375,5.0,18.7,27.5,53.9,26.0,72.5,5.46
A20965_4317,52.4125,10.7925,5.1,51.6,16.1,32.3,28.9,80.2,7.11
A20862_4218,52.155,10.545,5.8,28.3,29.1,42.6,28.1,70.0,7.79
A20953_4212,52.3825,10.53,6.3,58.6,14.6,26.8,27.2,54.6,5.73
A20983_4323,52.4575,10.8075,5.1,62.0,14.0,24.0,28.6,74.9,7.47
A20847_4118,52.1175,10.295,5.6,22.0,32.2,45.8,27.5,59.3,5.83
A20971_4269,52.4275,10.6725,5.7,63.5,13.5,23.0,28.4,55.9,6.95
A20876_4198,52.19,10.495,6.1,28.9,27.8,43.3,30.2,57.3,6.67
A21097_4181,52.7425,10.4525,5.0,60.7,9.1,30.2,30.1,91.2,4.99
A20869_4330,52.1725,10.825,5.0,22.3,26.2,51.5,28.6,62.6,7.15
A20918_4143,52.295,10.3575,5.0,36.0,18.9,45.1,30.0,79.5,6.26
A20909_4181,52.2725,10.4525,6.4,43.4,21.5,35.1,32.2,55.8,7.61
A20908_4223,52.27,10.5575,5.2,34.9,25.9,39.3,30.4,85.6,6.48
A20926_4186,52.315,10.465,6.2,51.6,19.6,28.7,30.0,59.6,6.94
A20907_4221,52.2675,10.5525,5.4,34.6,25.7,39.7,28.9,86.5,6.57
A20983_4321,52.4575,10.8025,5.0,60.2,15.1,24.7,29.3,75.6,7.45
A20965_4131,52.4125,10.3275,5.5,54.5,14.1,31.4,29.2,66.9,6.03
A20961_4203,52.4025,10.5075,5.0,58.5,17.3,24.2,28.7,70.9,6.65
A20929_4172,52.3225,10.43,6.3,51.9,20.7,27.4,30.2,56.5,6.52
A20897_4249,52.2425,10.6225,5.2,38.4,25.3,36.3,31.6,78.3,7.56
A20837_4106,52.0925,10.265,6.6,20.6,30.4,49.0,26.5,45.8,4.42
A20929_4270,52.3225,10.675,6.3,46.0,21.5,32.5,28.6,61.6,7.19
A20983_4320,52.4575,10.8,5.0,62.0,13.8,24.2,29.4,71.8,7.28
A20963_4204,52.4075,10.51,5.0,60.4,15.1,24.5,28.4,71.9,6.09
A20916_4132,52.29,10.33,5.2,41.9,18.0,40.2,31.1,77.6,6.4
A20916_4169,52.29,10.4225,6.2,33.6,22.7,43.7,30.6,64.7,5.57
A20907_4222,52.2675,10.555,5.4,34.6,25.7,39.7,28.9,86.5,6.57
A20957_4199,52.3925,10.4975,6.0,56.3,16.8,27.0,28.9,55.5,6.49
A20868_4343,52.17,10.8575,5.1,20.5,34.1,45.4,27.4,67.9,5.59
A20850_4058,52.125,10.145,5.1,20.6,28.9,50.4,30.1,75.9,5.35
A20946_4167,52.365,10.4175,5.0,60.0,14.9,25.1,28.7,69.4,6.3
A21027_4295,52.5675,10.7375,4.6,54.6,13.9,31.5,26.7,75.0,5.95
A21139_4263,52.8475,10.6575,5.6,59.4,11.6,29.0,26.6,72.1,5.57
A20875_4335,52.1875,10.8375,5.1,22.8,25.0,52.1,25.6,72.4,5.77
A20892_4345,52.23,10.8625,6.6,38.8,20.8,40.5,29.7,56.5,7.62
A20902_4188,52.255,10.47,5.9,39.3,24.1,36.5,30.4,55.4,5.85
A20871_4218,52.1775,10.545,5.2,34.0,30.5,35.5,30.7,72.1,7.43
A20875_4336,52.1875,10.84,4.9,20.8,28.8,50.3,27.4,74.6,6.07
A21014_4047,52.535,10.1175,5.3,64.4,16.4,19.2,25.2,62.4,6.14
A20874_4332,52.185,10.83,5.2,23.3,25.4,51.3,25.3,75.5,6.12
A20919_4252,52.2975,10.63,5.3,47.6,18.6,33.8,31.6,81.1,8.4
A20932_4089,52.33,10.2225,5.5,54.8,16.1,29.1,27.1,66.1,5.15
A21055_4231,52.6375,10.5775,5.3,69.1,12.3,18.6,25.9,79.1,7.01
A20962_4203,52.405,10.5075,4.9,60.7,15.1,24.2,29.3,75.3,6.45
A20876_4332,52.19,10.83,5.0,20.2,26.4,53.4,26.0,85.4,5.27
A20840_4053,52.1,10.1325,6.0,17.1,22.5,60.4,29.7,54.3,5.54
A20843_4056,52.1075,10.14,5.3,15.2,25.4,59.3,30.6,73.5,5.08
A21056_4229,52.64,10.5725,5.0,69.7,11.6,18.7,25.9,84.0,7.01
A20974_4367,52.435,10.9175,4.8,58.5,16.1,25.4,31.1,87.4,8.25
A20895_4411,52.2375,11.0275,5.0,31.0,21.7,47.3,32.0,89.9,7.23
A20917_4130,52.2925,10.325,5.5,35.2,20.0,44.8,31.2,64.1,5.37
A20875_4334,52.1875,10.835,5.1,22.8,25.0,52.1,25.6,72.4,5.77
A20875_4333,52.1875,10.8325,5.2,22.9,24.3,52.8,25.5,81.7,5.74
A21116_4052,52.79,10.13,4.9,69.3,11.6,19.1,29.0,96.9,5.9
A21132_4072,52.83,10.18,4.9,56.4,16.3,27.3,26.0,89.0,5.78
A20835_4145,52.0875,10.3625,5.2,19.7,30.5,49.8,25.8,69.4,5.83
A20963_4178,52.4075,10.445,6.1,64.7,12.9,22.4,28.0,41.9,6.05
A20911_4231,52.2775,10.5775,5.5,39.5,25.2,35.3,29.5,85.3,6.38
A20964_4132,52.41,10.33,5.6,63.5,12.9,23.6,28.7,62.0,6.65
