id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20921_4249,52.3025,10.6225,5.2,47.5,17.2,35.4,30.5,83.7,8.2
A20939_4181,52.3475,10.4525,5.8,49.7,19.0,31.3,30.8,58.0,5.5
A20941_4156,52.3525,10.39,5.9,49.4,22.5,28.1,30.4,64.7,5.7
A21001_4273,52.5025,10.6825,4.8,64.7,10.4,24.9,27.4,71.5,6.74
A20965_4040,52.4125,10.1,5.2,52.5,23.3,24.2,25.7,81.0,5.98
A20933_4218,52.3325,10.545,5.1,37.4,24.7,37.9,29.5,70.6,6.67
A20828_4077,52.07,10.1925,6.9,14.8,27.0,58.2,26.6,45.4,5.21
A20965_4146,52.4125,10.365,5.1,60.7,12.4,26.9,28.5,82.4,6.46
A20965_4150,52.4125,10.375,6.0,63.7,13.4,22.9,28.9,63.5,6.97
A20922_4246,52.305,10.615,6.2,43.1,19.9,36.9,30.8,71.0,7.91
A20919_4145,52.2975,10.3625,5.1,36.1,21.9,42.0,29.7,75.6,5.77
A20953_4043,52.3825,10.1075,6.5,55.2,18.6,26.2,26.1,64.5,5.53
A20970_4151,52.425,10.3775,6.0,64.2,12.7,23.1,29.2,61.1,6.96
A20937_4216,52.3425,10.54,5.2,41.3,23.3,35.4,30.7,82.1,7.07
A20842_4070,52.105,10.175,5.9,18.6,29.9,51.5,26.4,48.2,5.32
A20984_4208,52.46,10.52,5.0,64.4,12.0,23.6,27.9,72.0,5.76
A20922_4258,52.305,10.645,5.2,49.1,19.7,31.2,32.6,82.4,8.39
A20949_4136,52.3725,10.34,5.2,46.7,19.7,33.6,28.0,67.8,6.13
A20910_4243,52.275,10.6075,6.4,36.9,21.2,41.9,31.5,63.1,6.93
A21053_4071,52.6325,10.1775,5.2,60.4,13.3,26.3,27.6,86.7,5.9
A20867_4331,52.1675,10.8275,5.0,24.6,29.4,46.0,30.8,60.0,6.05
A20939_4289,52.3475,10.7225,5.1,56.6,15.5,27.9,28.4,67.7,6.59
A20936_4285,52.34,10.7125,4.9,50.2,15.3,34.6,29.8,75.2,7.05
A20933_4283,52.3325,10.7075,5.0,54.9,16.0,29.1,29.8,74.3,6.58
A20859_4261,52.1475,10.6525,5.3,22.5,27.4,50.1,27.6,96.3,5.78
A20866_4331,52.165,10.8275,4.9,27.2,25.9,47.0,31.2,60.8,6.82
A20858_4261,52.145,10.6525,5.3,20.6,28.8,50.6,28.3,96.8,5.93
A20867_4329,52.1675,10.8225,5.2,29.1,30.2,40.7,29.0,68.6,6.04
A20870_4263,52.175,10.6575,6.6,30.8,28.5,40.7,31.2,53.9,7.39
A20937_4264,52.3425,10.66,5.2,46.4,19.5,34.2,29.8,75.4,6.74
A20866_4330,52.165,10.825,5.6,28.7,28.8,42.5,30.5,54.8,6.09
A20932_4287,52.33,10.7175,5.0,53.4,16.0,30.6,28.1,67.7,6.56
A20929_4284,52.3225,10.71,5.1,50.7,16.6,32.7,30.7,72.5,7.51
A20933_4288,52.3325,10.72,4.9,52.8,18.3,29.0,29.0,73.3,6.7
A20869_4283,52.1725,10.7075,6.3,30.0,28.2,41.8,31.0,59.1,6.7
A20866_4293,52.165,10.7325,6.7,28.6,24.7,46.7,32.7,51.4,6.8
A20865_4293,52.1625,10.7325,6.6,31.8,26.4,41.8,32.0,51.6,6.45
A20893_4294,52.2325,10.735,5.1,26.6,27.2,46.2,27.2,74.2,5.43
A20934_4289,52.335,10.7225,5.0,52.4,18.4,29.1,28.3,67.4,6.54
A20939_4290,52.3475,10.725,5.1,56.4,15.7,28.0,28.6,70.4,6.57
A20895_4294,52.2375,10.735,5.4,26.0,24.9,49.1,28.3,79.2,6.41
A20860_4261,52.15,10.6525,6.1,22.6,29.2,48.2,27.6,59.7,5.9
A20861_4261,52.1525,10.6525,6.3,25.0,29.1,45.9,29.1,61.6,7.51
A20919_4144,52.2975,10.36,5.1,34.0,21.5,44.5,29.5,75.7,6.03
A20905_4241,52.2625,10.6025,5.2,41.7,25.7,32.6,31.3,80.9,6.5
A20946_4169,52.365,10.4225,5.1,59.2,15.4,25.3,28.1,69.5,6.14
A20926_4257,52.315,10.6425,5.1,51.1,19.5,29.4,30.3,91.6,7.0
A20942_4146,52.355,10.365,5.7,51.1,18.3,30.5,29.7,52.4,5.66
A20924_4211,52.31,10.5275,5.3,44.9,25.4,29.7,30.6,73.1,7.78
A20902_4184,52.255,10.46,5.6,39.5,23.0,37.5,30.4,66.9,6.13
A20944_4168,52.36,10.42,5.2,61.1,14.9,24.0,29.1,64.4,5.54
A20876_4048,52.19,10.12,6.7,21.6,24.0,54.4,27.6,44.0,5.31
A20959_4213,52.3975,10.5325,5.4,58.7,16.8,24.5,28.5,68.1,5.68
A20958_4210,52.395,10.525,5.5,59.8,16.8,23.4,27.8,61.1,5.96
A20956_4210,52.39,10.525,5.2,58.4,19.0,22.6,27.7,74.1,6.89
A20951_4169,52.3775,10.4225,4.9,57.2,16.6,26.3,26.3,78.1,5.5
A20914_4192,52.285,10.48,5.3,42.6,21.5,36.0,32.2,71.0,5.92
A20930_4289,52.325,10.7225,4.9,47.9,16.6,35.5,30.4,73.9,6.86
A20865_4297,52.1625,10.7425,6.7,29.5,25.2,45.3,32.8,50.9,5.98
A21049_4283,52.6225,10.7075,4.9,59.1,12.9,28.1,25.8,80.4,6.26
A20914_4190,52.285,10.475,5.7,43.9,20.8,35.3,32.2,58.7,5.46
A20905_4160,52.2625,10.4,5.6,34.9,23.8,41.3,30.8,63.5,6.18
A20883_4298,52.2075,10.745,6.3,26.4,28.7,44.9,28.8,63.2,6.43
A20918_4145,52.295,10.3625,4.9,34.0,22.5,43.4,30.5,75.2,5.91
A20880_4299,52.2,10.7475,5.3,25.3,28.9,45.8,30.1,82.5,5.84
A20920_4149,52.3,10.3725,5.0,29.1,24.0,46.9,30.0,70.8,6.04
A20917_4146,52.2925,10.365,5.1,37.2,23.8,39.1,30.7,70.3,6.07
A21002_4275,52.505,10.6875,4.7,64.7,11.6,23.7,28.0,68.1,6.15
A20851_4058,52.1275,10.145,5.2,22.3,29.3,48.4,29.5,55.6,5.69
A20915_4307,52.2875,10.7675,5.2,35.1,24.0,40.9,30.6,85.9,5.89
A20911_4311,52.2775,10.7775,5.0,41.3,23.3,35.4,30.6,77.5,8.71
A20913_4310,52.2825,10.775,5.0,42.4,23.1,34.5,30.8,80.7,7.67
A20913_4306,52.2825,10.765,5.3,39.2,20.8,40.0,31.5,85.1,6.99
A20908_4289,52.27,10.7225,6.4,39.8,23.2,37.0,31.1,58.5,8.51
A20906_4289,52.265,10.7225,5.4,41.5,22.7,35.8,31.4,79.3,8.11
A20898_4209,52.245,10.5225,5.8,36.1,24.5,39.4,29.8,64.4,7.52
A20830_4213,52.075,10.5325,5.1,23.2,28.9,47.9,29.9,68.5,6.41
A21109_4216,52.7725,10.54,4.9,51.6,16.0,32.4,26.4,78.8,5.21
A20962_4183,52.405,10.4575,5.0,61.6,13.7,24.7,26.4,68.5,5.47
A20929_4168,52.3225,10.42,5.4,47.5,19.0,33.4,30.3,58.5,5.64
A20902_4176,52.255,10.44,5.8,32.6,24.8,42.6,31.2,70.3,5.8
A20913_4305,52.2825,10.7625,5.2,38.6,20.0,41.4,31.6,83.2,6.9
A20907_4289,52.2675,10.7225,5.5,40.1,21.8,38.1,31.1,69.9,9.25
A20913_4326,52.2825,10.815,4.8,51.8,19.1,29.1,29.5,78.3,7.76
A20914_4312,52.285,10.78,5.6,42.1,23.0,34.9,30.3,66.1,7.32
A20906_4302,52.265,10.755,6.7,34.3,25.8,39.9,31.5,53.6,9.06
A20912_4327,52.28,10.8175,5.7,51.3,18.9,29.8,28.8,71.6,7.26
A20853_4052,52.1325,10.13,5.3,21.3,26.3,52.4,29.6,72.2,5.44
A20825_4063,52.0625,10.1575,5.4,20.5,28.5,51.0,28.3,55.7,5.39
A20908_4291,52.27,10.7275,5.6,38.8,23.6,37.6,30.7,79.8,9.06
A20884_4315,52.21,10.7875,5.3,22.4,25.9,51.7,29.3,78.2,5.94
A20920_4248,52.3,10.62,5.1,49.1,17.0,33.9,29.5,74.2,8.27
A20900_4368,52.25,10.92,6.3,52.7,20.7,26.5,29.1,56.4,8.27
A20883_4322,52.2075,10.805,5.1,22.0,27.2,50.8,25.1,71.4,5.64
A20854_4047,52.135,10.1175,5.3,20.4,28.2,51.4,29.8,67.2,5.34
A21005_4097,52.5125,10.2425,6.2,65.4,13.6,21.0,26.4,54.9,6.14
A20916_4245,52.29,10.6125,5.1,43.9,21.5,34.6,30.4,86.0,8.36
A20891_4314,52.2275,10.785,5.0,20.8,33.6,45.7,26.3,84.8,6.14
A20821_4050,52.0525,10.125,5.8,14.5,25.5,60.0,29.1,53.5,6.83
A20900_4410,52.25,11.025,4.8,20.8,23.5,55.7,31.7,85.7,6.18
A20971_4352,52.4275,10.88,5.0,57.2,14.1,28.8,30.0,87.4,8.46
A20823_4066,52.0575,10.165,5.2,20.8,27.8,51.4,27.6,67.1,6.05
A20907_4294,52.2675,10.735,5.4,40.8,21.7,37.5,31.6,79.5,8.15
A20920_4245,52.3,10.6125,6.4,43.1,22.5,34.3,29.5,64.6,8.49
A20907_4447,52.2675,11.1175,5.0,39.7,17.9,42.5,30.9,79.7,8.19
A20937_4303,52.3425,10.7575,4.9,55.0,17.3,27.7,28.6,73.6,6.78
A20899_4180,52.2475,10.45,6.5,34.1,23.9,42.0,31.7,51.8,5.79
A21039_4056,52.5975,10.14,5.2,71.8,11.9,16.3,26.0,75.0,5.76
A20919_4259,52.2975,10.6475,5.2,46.2,19.4,34.4,32.2,91.3,7.87
A20892_4296,52.23,10.74,5.2,22.9,28.2,48.9,25.7,74.9,5.67
A20894_4291,52.235,10.7275,5.2,27.0,28.6,44.3,28.7,66.3,5.47
A20892_4326,52.23,10.815,5.0,22.5,25.3,52.2,29.8,86.7,5.81
A20885_4325,52.2125,10.8125,5.3,23.6,26.6,49.8,26.1,74.2,6.07
A20899_4300,52.2475,10.75,5.3,27.8,26.7,45.5,28.2,72.3,6.96
A20923_4245,52.3075,10.6125,6.3,43.0,20.5,36.5,31.0,57.4,7.62
A20949_4183,52.3725,10.4575,6.3,54.5,16.6,28.9,29.2,58.1,5.82
A21130_4095,52.825,10.2375,5.0,45.3,22.4,32.2,25.3,102.0,4.89
A20914_4204,52.285,10.51,5.4,40.6,28.1,31.4,28.5,78.1,7.76
A20932_4285,52.33,10.7125,5.0,55.0,15.8,29.2,28.6,72.4,6.62
A20871_4208,52.1775,10.52,6.4,34.2,27.3,38.5,31.5,59.3,8.09
A20977_4153,52.4425,10.3825,5.3,60.7,13.1,26.3,27.1,67.2,5.8
A21008_4401,52.52,11.0025,5.2,62.2,13.9,23.9,30.0,82.7,6.8
A20942_4041,52.355,10.1025,5.2,46.6,21.1,32.3,28.1,63.4,5.46
A20906_4223,52.265,10.5575,5.3,38.5,25.6,35.9,30.2,96.0,7.14
A20949_4333,52.3725,10.8325,4.8,42.8,22.8,34.4,28.4,73.9,5.97
A21034_4317,52.585,10.7925,4.8,59.2,11.8,29.1,26.9,81.2,6.76
A20906_4236,52.265,10.59,5.1,43.6,22.2,34.1,32.2,77.1,6.65
A20922_4249,52.305,10.6225,6.0,45.9,16.9,37.2,32.4,70.3,7.6
A20881_4218,52.2025,10.545,5.3,33.4,25.4,41.2,32.4,76.4,8.52
A20957_4214,52.3925,10.535,5.5,58.6,17.7,23.7,27.4,61.8,6.19
A20853_4064,52.1325,10.16,5.3,20.6,28.4,51.0,29.3,60.9,6.2
A20840_4141,52.1,10.3525,5.2,21.9,30.1,48.0,29.3,79.2,5.53
A20828_4211,52.07,10.5275,5.2,23.4,31.5,45.1,29.7,73.0,6.5
A20892_4226,52.23,10.565,5.3,34.5,29.1,36.4,30.2,75.5,6.75
A20878_4298,52.195,10.745,5.4,21.1,30.6,48.3,28.6,100.4,6.81
A20824_4063,52.06,10.1575,5.4,20.9,29.8,49.3,28.1,69.3,5.68
A20891_4231,52.2275,10.5775,5.6,39.5,21.0,39.5,31.3,70.7,6.81
A20852_4266,52.13,10.665,5.4,24.5,30.4,45.1,28.4,83.4,5.9
A20899_4187,52.2475,10.4675,5.4,40.9,23.1,36.0,30.2,73.6,6.49
A20874_4387,52.185,10.9675,5.1,31.8,19.3,48.9,30.1,77.1,8.02
A20906_4111,52.265,10.2775,5.3,28.3,22.7,49.0,27.0,57.3,5.6
A20855_4263,52.1375,10.6575,5.2,25.9,28.0,46.1,27.5,88.0,5.99
A20893_4228,52.2325,10.57,5.3,31.4,25.1,43.5,30.7,76.1,7.25
A20943_4392,52.3575,10.98,6.0,49.5,17.7,32.7,30.4,72.7,7.18
A20870_4458,52.175,11.145,5.2,39.8,19.0,41.1,30.8,76.1,8.06
A20987_4208,52.4675,10.52,4.9,61.8,13.7,24.5,26.1,68.9,5.72
A20979_4352,52.4475,10.88,5.5,56.6,18.4,25.0,32.8,90.5,8.2
A20891_4233,52.2275,10.5825,5.4,40.0,21.8,38.2,31.3,77.3,6.99
A20920_4249,52.3,10.6225,5.1,48.6,17.2,34.2,30.4,82.7,7.9
A20827_4211,52.0675,10.5275,5.3,22.2,29.5,48.3,30.0,80.6,6.53
A21033_4074,52.5825,10.185,5.3,69.1,14.7,16.2,25.5,71.3,5.84
A20911_4118,52.2775,10.295,6.6,38.6,22.2,39.2,28.6,48.9,5.16
A20989_4211,52.4725,10.5275,5.2,65.4,11.4,23.2,27.8,60.8,6.06
A20932_4234,52.33,10.585,5.2,39.7,20.7,39.6,29.7,79.6,6.25
A20836_4044,52.09,10.11,5.4,17.7,27.0,55.3,30.9,77.0,5.55
A20835_4046,52.0875,10.115,5.4,20.2,30.7,49.2,31.0,84.2,5.58
A21029_4206,52.5725,10.515,5.2,63.4,13.3,23.3,27.6,70.3,6.02
A21038_4113,52.595,10.2825,6.2,70.1,11.9,18.0,27.5,62.9,6.08
A20914_4188,52.285,10.47,6.5,45.5,20.2,34.4,30.3,52.5,5.33
A20901_4181,52.2525,10.4525,5.3,36.3,21.6,42.1,31.0,73.7,6.45
A20901_4185,52.2525,10.4625,5.4,38.6,24.3,37.1,30.2,64.9,6.19
A21039_4246,52.5975,10.615,5.6,65.4,12.0,22.6,27.4,58.3,6.5
A20980_4266,52.45,10.665,4.9,60.7,13.8,25.5,31.3,73.2,6.89
A20911_4182,52.2775,10.455,5.5,43.4,21.1,35.5,30.4,69.7,6.3
A20918_4135,52.295,10.3375,5.2,41.4,18.9,39.7,30.8,72.3,6.34
A20901_4183,52.2525,10.4575,5.3,38.9,22.7,38.4,30.9,77.9,6.8
A20980_4325,52.45,10.8125,4.9,64.0,13.2,22.8,27.5,68.2,7.18
A20911_4185,52.2775,10.4625,5.3,43.1,21.0,36.0,31.2,70.8,6.78
A20903_4239,52.2575,10.5975,5.1,45.6,23.2,31.2,30.5,85.9,6.63
A20899_4185,52.2475,10.4625,6.2,38.0,23.1,38.9,30.6,55.3,5.86
A20898_4187,52.245,10.4675,5.5,39.5,23.6,36.9,30.7,65.2,5.76
A20924_4222,52.31,10.555,5.2,42.9,24.6,32.5,29.8,82.6,6.64
A20923_4222,52.3075,10.555,5.0,42.6,25.2,32.3,31.2,82.0,6.78
A21048_4045,52.62,10.1125,5.5,71.4,12.3,16.4,26.5,85.4,5.78
A20923_4226,52.3075,10.565,5.0,41.4,27.3,31.3,32.7,68.0,6.3
A20920_4136,52.3,10.34,5.3,38.8,20.4,40.8,30.8,81.0,6.19
A20921_4136,52.3025,10.34,5.3,32.4,24.4,43.2,30.5,82.5,6.1
A21118_4347,52.795,10.8675,4.9,60.6,13.4,26.0,28.6,88.1,6.86
A20870_4344,52.175,10.86,4.9,18.6,31.2,50.2,26.8,77.0,5.9
A20959_4355,52.3975,10.8875,5.0,48.3,18.0,33.7,30.7,80.0,7.58
A20919_4244,52.2975,10.61,6.3,43.2,20.0,36.8,28.3,62.8,8.9
A20930_4260,52.325,10.65,6.6,49.4,18.8,31.8,29.0,45.5,7.17
A20968_4381,52.42,10.9525,4.9,57.3,15.9,26.8,31.0,78.2,7.47
A20859_4059,52.1475,10.1475,5.2,22.3,27.0,50.7,27.9,75.5,5.47
A20851_4060,52.1275,10.15,5.6,21.3,29.2,49.5,29.8,55.2,5.45
A20893_4271,52.2325,10.6775,5.2,38.5,22.1,39.4,31.7,68.9,6.26
A20966_4373,52.415,10.9325,4.9,51.5,18.7,29.8,30.6,75.0,8.14
A20934_4256,52.335,10.64,5.1,44.6,16.0,39.4,29.6,74.4,7.25
A20965_4363,52.4125,10.9075,4.9,51.4,18.6,30.0,29.7,73.7,7.4
A20850_4057,52.125,10.1425,5.1,21.8,28.8,49.3,30.3,69.2,5.51
A21118_4344,52.795,10.86,5.7,58.7,13.7,27.6,28.6,66.8,6.33
A20916_4175,52.29,10.4375,5.5,40.4,24.5,35.1,31.3,68.8,6.09
A20986_4166,52.465,10.415,4.8,63.1,13.7,23.2,25.8,71.0,5.47
A20986_4163,52.465,10.4075,4.9,64.7,12.2,23.0,26.5,68.3,5.28
A20988_4395,52.47,10.9875,6.0,62.5,13.9,23.5,29.9,55.5,6.96
A20916_4174,52.29,10.435,5.3,40.4,24.1,35.5,31.3,76.3,5.8
A21028_4105,52.57,10.2625,5.0,67.6,12.3,20.1,25.5,77.7,6.07
A20896_4211,52.24,10.5275,5.9,37.5,24.7,37.8,29.7,68.7,7.72
A20965_4368,52.4125,10.92,4.7,46.2,18.9,34.9,30.3,73.3,7.65
A20901_4178,52.2525,10.445,5.4,35.9,23.1,41.0,31.8,75.8,6.75
A21003_4279,52.5075,10.6975,4.6,66.4,10.4,23.1,27.7,71.1,6.03
A20975_4357,52.4375,10.8925,5.8,55.4,17.4,27.2,31.5,78.0,8.69
A21118_4345,52.795,10.8625,4.9,59.1,14.1,26.8,28.7,85.6,6.77
A21123_4349,52.8075,10.8725,4.9,59.5,15.1,25.4,30.1,77.7,6.92
A20849_4058,52.1225,10.145,5.1,20.8,28.0,51.2,30.5,72.7,5.44
A20919_4248,52.2975,10.62,5.1,48.3,19.6,32.0,30.0,79.3,8.35
A20870_4345,52.175,10.8625,4.9,18.3,31.9,49.8,26.7,80.5,5.72
A20965_4372,52.4125,10.93,4.8,46.9,19.2,34.0,31.3,76.3,8.03
A20965_4369,52.4125,10.9225,4.7,46.2,18.9,34.9,30.3,73.3,7.65
A20912_4312,52.28,10.78,5.0,41.6,23.4,35.0,30.4,74.2,8.5
A20869_4344,52.1725,10.86,5.0,17.8,32.0,50.3,26.7,66.3,5.95
A20849_4055,52.1225,10.1375,5.1,19.8,28.1,52.1,28.5,78.7,5.77
A20901_4239,52.2525,10.5975,5.1,38.6,26.4,35.0,31.0,81.5,7.41
A20899_4210,52.2475,10.525,5.7,37.1,23.5,39.5,29.6,66.7,8.74
A20972_4352,52.43,10.88,6.0,56.9,13.5,29.5,30.0,62.8,8.05
A20988_4192,52.47,10.48,4.7,59.5,15.2,25.3,27.4,71.8,5.95
A20853_4304,52.1325,10.76,6.8,31.7,31.1,37.2,31.1,59.2,6.97
A20855_4070,52.1375,10.175,5.4,21.1,27.9,51.0,29.8,61.7,6.26
A20968_4369,52.42,10.9225,5.8,52.0,18.4,29.6,29.6,64.4,7.33
A20892_4271,52.23,10.6775,5.3,39.0,20.4,40.6,31.1,70.6,7.0
A20915_4130,52.2875,10.325,5.1,36.5,20.2,43.3,31.0,75.8,6.02
A20894_4424,52.235,11.06,4.9,35.9,21.2,43.0,32.8,71.7,6.82
A20920_4147,52.3,10.3675,5.3,36.8,21.7,41.6,29.7,59.5,6.76
A20909_4183,52.2725,10.4575,6.4,43.0,20.7,36.3,32.2,54.2,7.23
A21136_4110,52.84,10.275,4.9,43.4,21.3,35.3,24.5,102.6,5.36
A20915_4188,52.2875,10.47,6.4,45.3,19.3,35.4,29.9,53.0,5.83
A21035_4332,52.5875,10.83,4.7,61.5,12.5,26.0,27.8,75.7,6.19
A20877_4329,52.1925,10.8225,5.1,21.9,26.9,51.2,27.5,58.9,5.86
A20913_4188,52.2825,10.47,5.2,45.9,20.2,33.9,32.1,81.1,5.74
A20999_4284,52.4975,10.71,4.8,63.0,11.8,25.2,28.8,74.8,6.47
A20929_4166,52.3225,10.415,5.9,46.5,19.0,34.5,31.2,56.5,5.74
A21081_4103,52.7025,10.2575,5.2,48.5,19.1,32.4,28.5,84.3,5.34
A20889_4236,52.2225,10.59,5.4,34.3,22.4,43.3,32.0,76.2,8.74
A20888_4236,52.22,10.59,5.4,33.1,22.6,44.2,31.9,77.0,8.72
A20892_4294,52.23,10.735,5.2,24.6,27.9,47.4,27.6,67.3,5.63
A20896_4247,52.24,10.6175,5.2,38.1,24.7,37.2,32.4,95.6,7.29
A20915_4254,52.2875,10.635,5.6,41.0,21.7,37.3,31.7,65.7,8.51
A20941_4332,52.3525,10.83,5.0,47.5,17.4,35.2,31.6,85.1,6.21
A20944_4330,52.36,10.825,5.0,49.9,18.0,32.0,30.4,78.9,5.93
A20985_4326,52.4625,10.815,5.3,60.2,14.5,25.3,29.0,66.9,6.92
A20939_4331,52.3475,10.8275,5.9,46.8,17.9,35.3,29.3,66.3,6.3
A20944_4331,52.36,10.8275,5.0,49.9,18.0,32.0,30.4,78.9,5.93
A20938_4335,52.345,10.8375,5.1,44.0,21.3,34.6,31.5,87.5,7.05
A20940_4331,52.35,10.8275,5.8,48.7,17.4,33.9,29.8,64.3,6.68
A20915_4252,52.2875,10.63,5.1,40.6,20.8,38.6,31.1,75.5,8.29
A21018_4096,52.545,10.24,5.3,70.4,11.9,17.7,25.8,65.5,5.3
A20985_4327,52.4625,10.8175,5.1,62.5,14.7,22.8,29.4,62.3,7.14
A21019_4096,52.5475,10.24,5.4,72.1,11.1,16.8,25.9,60.4,5.67
A21004_4224,52.51,10.56,5.2,63.4,15.2,21.5,26.7,68.4,6.36
A21018_4098,52.545,10.245,5.3,66.7,14.2,19.1,26.1,68.1,5.9
A20855_4261,52.1375,10.6525,5.2,24.7,26.3,49.0,27.4,84.2,5.79
A20937_4335,52.3425,10.8375,5.7,49.8,22.6,27.5,31.5,73.1,6.92
A21126_4301,52.815,10.7525,5.7,60.6,12.9,26.5,26.5,60.3,6.52
A21019_4095,52.5475,10.2375,5.4,70.5,12.1,17.4,26.4,69.1,5.46
A20937_4333,52.3425,10.8325,5.1,45.0,23.1,31.8,31.5,86.4,7.4
A20867_4324,52.1675,10.81,5.8,34.4,27.3,38.3,30.3,59.2,5.95
A20893_4295,52.2325,10.7375,5.1,26.6,27.2,46.2,27.2,74.2,5.43
A20917_4135,52.2925,10.3375,5.1,41.6,19.0,39.3,31.3,68.0,6.39
A20930_4230,52.325,10.575,5.1,39.6,26.6,33.8,30.5,83.7,6.67
A20860_4254,52.15,10.635,5.3,27.6,28.1,44.3,28.8,102.1,5.45
A20944_4332,52.36,10.83,5.0,46.0,19.7,34.3,30.1,79.4,5.49
A20861_4252,52.1525,10.63,5.5,28.3,25.8,45.9,30.7,87.7,7.48
A20899_4181,52.2475,10.4525,6.5,33.5,23.3,43.2,30.5,48.5,6.39
A20890_4206,52.225,10.515,5.7,40.2,22.5,37.3,30.0,60.7,9.07
A20931_4229,52.3275,10.5725,4.9,42.7,21.4,35.8,30.2,71.0,6.16
A20894_4295,52.235,10.7375,5.3,27.4,27.3,45.2,27.1,73.7,5.12
A20886_4324,52.215,10.81,5.2,21.7,24.5,53.8,26.0,73.5,6.08
A20916_4131,52.29,10.3275,5.1,35.3,19.3,45.4,31.5,65.4,6.09
A20897_4247,52.2425,10.6175,5.1,37.2,26.0,36.8,31.5,95.0,7.42
A20884_4286,52.21,10.715,5.4,26.5,30.8,42.7,28.3,75.7,5.4
A20929_4268,52.3225,10.67,6.0,46.3,22.7,31.0,28.7,61.2,7.01
A20896_4248,52.24,10.62,5.2,38.1,24.7,37.2,32.4,95.6,7.29
A21066_4385,52.665,10.9625,4.8,62.3,11.7,26.1,30.4,75.1,6.62
A20918_4136,52.295,10.34,5.2,41.4,18.9,39.7,30.8,72.3,6.34
A20918_4146,52.295,10.365,5.0,33.8,22.3,43.9,30.2,77.2,6.01
A20904_4190,52.26,10.475,6.1,43.4,23.6,33.0,31.1,56.7,7.12
A20985_4190,52.4625,10.475,4.9,63.9,13.0,23.1,27.6,77.9,5.96
A20854_4064,52.135,10.16,5.4,21.7,28.6,49.7,30.3,69.6,5.97
A20892_4204,52.23,10.51,6.0,37.3,24.9,37.8,29.0,62.9,9.19
A20900_4183,52.25,10.4575,5.4,38.6,22.1,39.3,30.5,75.8,7.02
A20960_4222,52.4,10.555,6.0,57.9,14.4,27.6,27.6,58.1,6.59
A20908_4235,52.27,10.5875,5.7,37.9,27.1,35.0,31.9,67.4,6.47
A20843_4138,52.1075,10.345,5.9,21.2,31.2,47.6,27.8,53.5,5.47
A20880_4218,52.2,10.545,5.3,35.1,24.8,40.1,32.8,87.2,8.76
A20930_4216,52.325,10.54,5.9,36.9,25.8,37.3,29.6,71.1,6.15
A20852_4204,52.13,10.51,5.4,20.6,29.2,50.2,27.4,77.3,6.18
A20876_4336,52.19,10.84,4.8,17.9,27.6,54.5,27.2,78.1,5.92
A20891_4223,52.2275,10.5575,5.2,38.5,25.0,36.5,30.7,74.7,7.44
A21044_4088,52.61,10.22,5.0,73.0,10.5,16.5,25.8,91.9,5.52
A20897_4209,52.2425,10.5225,5.3,35.7,24.3,40.0,30.0,81.2,9.08
A20953_4102,52.3825,10.255,6.0,53.0,18.8,28.2,26.6,52.4,5.06
A20995_4222,52.4875,10.555,5.5,64.7,13.7,21.7,28.7,66.6,5.94
A20881_4060,52.2025,10.15,6.7,19.0,25.7,55.3,27.8,58.0,7.74
A20882_4319,52.205,10.7975,5.0,23.2,30.1,46.7,26.7,65.7,5.82
A20981_4324,52.4525,10.81,5.1,64.4,13.6,22.1,27.5,77.2,7.96
A20952_4284,52.38,10.71,5.1,48.9,17.2,33.8,29.8,78.1,6.07
A20936_4062,52.34,10.155,6.2,51.8,17.5,30.8,28.4,54.6,6.39
A20920_4251,52.3,10.6275,5.1,47.1,17.9,34.9,30.8,88.4,8.28
A20886_4203,52.215,10.5075,6.0,34.3,26.9,38.8,30.0,59.7,8.88
A20868_4342,52.17,10.855,5.6,21.8,26.1,52.1,27.5,57.1,5.39
A20854_4063,52.135,10.1575,5.5,22.0,28.4,49.6,30.2,62.5,6.16
A20898_4369,52.245,10.9225,6.0,51.6,22.5,25.9,30.4,64.4,7.89
A20983_4324,52.4575,10.81,5.0,62.8,14.3,22.9,28.8,73.2,7.48
A20937_4334,52.3425,10.835,5.1,44.0,22.7,33.2,31.5,80.1,7.12
A20821_4068,52.0525,10.17,5.1,21.5,30.5,48.0,27.0,61.7,5.85
A20953_4287,52.3825,10.7175,5.1,46.1,17.5,36.4,30.1,70.2,6.32
A20858_4317,52.145,10.7925,6.4,32.9,28.2,38.9,29.5,55.8,6.15
A21009_4270,52.5225,10.675,4.7,64.6,9.5,25.9,28.6,73.3,5.86
A20951_4285,52.3775,10.7125,5.1,48.5,17.8,33.7,29.0,75.9,6.59
A21108_4250,52.77,10.625,5.2,58.8,13.1,28.1,26.3,86.2,6.4
A21061_4373,52.6525,10.9325,5.0,63.6,13.2,23.1,28.1,72.8,6.9
A21023_4376,52.5575,10.94,5.2,65.5,10.8,23.8,28.6,88.2,9.18
A20863_4331,52.1575,10.8275,5.1,19.1,28.1,52.8,29.4,72.7,6.42
A20861_4321,52.1525,10.8025,6.6,33.8,25.4,40.9,32.1,51.4,6.57
A21019_4189,52.5475,10.4725,5.1,64.8,14.0,21.2,25.5,63.6,5.91
A21075_4239,52.6875,10.5975,5.2,61.7,11.2,27.1,26.8,79.1,6.57
A20984_4189,52.46,10.4725,4.8,61.7,12.4,25.8,27.9,70.8,5.57
