id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0061,52.1221,10.9861,17,0.438,0.017,40000,17:0.438;5:0.348;16:0.095;9:0.086;6:0.02
W0062,52.1221,11.0157,17,0.648,0.126,40000,17:0.648;5:0.259;2:0.067
W0063,52.1221,11.0452,17,0.779,0.167,40000,17:0.779;5:0.109;2:0.086
W0064,52.1401,10.1,3,0.599,0.67,19800,3:0.599;5:0.337
W0065,52.1401,10.1295,3,0.617,0.566,40000,3:0.617;5:0.327
W0066,52.1401,10.1591,3,0.714,0.655,40000,3:0.714;5:0.23
W0067,52.1401,10.1886,3,0.535,0.533,40000,3:0.535;5:0.372;10:0.03;8:0.025;4:0.024
W0068,52.1401,10.2182,5,0.495,0.222,40000,5:0.495;3:0.401;10:0.048
W0069,52.1401,10.3658,17,0.597,0.008,24400,17:0.597;5:0.254;16:0.055;2:0.045
W0070,52.1401,10.484,5,0.501,0.368,40000,5:0.501;3:0.302;4:0.069;10:0.039;17:0.039;8:0.029
W0071,52.1401,10.5135,5,0.653,0.462,40000,5:0.653;3:0.236;4:0.034;10:0.028;8:0.024
W0072,52.1401,10.5431,5,0.519,0.012,40000,5:0.519;17:0.148;3:0.14;9:0.062;10:0.042;8:0.035
W0073,52.1401,10.5726,17,0.644,0.002,40000,17:0.644;5:0.288;10:0.068
W0074,52.1401,10.6317,3,0.635,0.414,29000,3:0.635;5:0.331
W0075,52.1401,10.6612,3,0.633,0.71,40000,3:0.633;5:0.293;10:0.044
W0076,52.1401,10.6908,5,0.39,0.121,40000,5:0.39;3:0.361;9:0.088;10:0.073;17:0.041;4:0.021
W0077,52.1401,10.7203,5,0.401,0.011,40000,5:0.401;3:0.265;17:0.184;16:0.113
W0078,52.1401,10.868,3,0.707,0.09,40000,3:0.707;5:0.251
W0079,52.1401,10.8975,3,0.492,0.302,33400,3:0.492;5:0.418;8:0.028;10:0.024
W0080,52.1401,10.9271,5,0.549,0.616,40000,5:0.549;3:0.34;8:0.042;10:0.032
W0081,52.1401,10.9566,5,0.669,0.035,40000,5:0.669;3:0.274;17:0.041
W0082,52.1401,11.0452,17,0.574,0.083,40000,17:0.574;5:0.171;2:0.127;3:0.073;10:0.037
