id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0257,52.3203,10.9861,5,0.665,0.25,40000,5:0.665;9:0.104;17:0.066;3:0.065;10:0.05;2:0.027
W0258,52.3203,11.0452,5,0.489,0.372,40000,5:0.489;3:0.401;17:0.061;10:0.033
W0259,52.3383,10.1,5,0.723,0.228,19800,5:0.723;3:0.19;17:0.026
W0260,52.3383,10.1295,5,0.804,0.514,40000,5:0.804;3:0.072;9:0.034;4:0.025
W0261,52.3383,10.3363,5,0.583,0.361,40000,5:0.583;10:0.143;9:0.134;17:0.041;4:0.028;2:0.025
W0262,52.3383,10.3658,5,0.898,0.025,24400,5:0.898;17:0.039;9:0.036
W0263,52.3383,10.484,5,0.639,0.063,40000,5:0.639;9:0.171;10:0.059;2:0.05;17:0.04;4:0.036
W0264,52.3383,10.5135,5,0.738,0.136,40000,5:0.738;17:0.203
W0265,52.3383,10.5726,5,0.626,0.23,40000,5:0.626;3:0.188;17:0.053;9:0.042;8:0.031;4:0.021
W0266,52.3383,10.6021,5,0.853,0.461,40000,5:0.853;3:0.049;17:0.044
W0267,52.3383,10.6317,5,0.858,0.617,29000,5:0.858;3:0.068;17:0.046
W0268,52.3383,10.6612,5,0.686,0.519,40000,5:0.686;3:0.21;2:0.031;17:0.025
W0269,52.3383,10.6908,5,0.869,0.223,40000,5:0.869;17:0.045;6:0.043;3:0.035
W0270,52.3383,10.7203,5,0.731,0.868,40000,5:0.731;3:0.09;9:0.087;10:0.033
W0271,52.3383,10.7498,5,0.765,0.199,40000,5:0.765;9:0.101;10:0.046;17:0.045;2:0.022
W0272,52.3383,10.868,5,0.441,0.401,40000,5:0.441;9:0.17;10:0.122;4:0.108;8:0.076;2:0.033
W0273,52.3383,10.8975,5,0.366,0.469,33400,5:0.366;9:0.209;10:0.122;4:0.102;8:0.099;2:0.056
W0274,52.3383,10.9271,5,0.775,0.175,40000,5:0.775;9:0.058;3:0.038;10:0.036;17:0.03;4:0.026
W0275,52.3383,10.9566,5,0.638,0.08,40000,5:0.638;3:0.118;9:0.056;17:0.056;2:0.033;8:0.03
W0276,52.3383,10.9861,5,0.355,0.09,40000,5:0.355;9:0.261;10:0.191;17:0.111;2:0.042;4:0.032
W0277,52.3383,11.1043,5,0.673,0.095,39800,5:0.673;3:0.177;17:0.096;10:0.028;6:0.023
W0278,52.3383,11.1338,9,0.404,0.096,40000,9:0.404;5:0.382;10:0.147;2:0.033
W0279,52.3563,10.1,5,0.579,0.851,19800,5:0.579;3:0.296;9:0.078;2:0.021
W0280,52.3563,10.1295,5,0.578,0.141,40000,5:0.578;9:0.151;2:0.095;3:0.056;10:0.051;4:0.033
W0281,52.3563,10.2772,5,0.479,0.101,40000,5:0.479;9:0.264;8:0.068;4:0.045;17:0.042;10:0.04
W0282,52.3563,10.3068,5,0.519,0.176,40000,5:0.519;3:0.191;6:0.11;17:0.099;2:0.041;8:0.024
W0283,52.3563,10.3363,5,0.422,0.212,40000,5:0.422;3:0.413;9:0.051;10:0.042;2:0.034
W0284,52.3563,10.3658,5,0.576,0.123,24400,5:0.576;6:0.103;10:0.089;9:0.067;2:0.064;17:0.059
W0285,52.3563,10.4249,5,0.397,0.108,40000,5:0.397;4:0.227;9:0.159;17:0.083;10:0.063;2:0.05
W0286,52.3563,10.484,5,0.923,0.105,40000,5:0.923;17:0.045;3:0.029
W0287,52.3563,10.5135,5,0.922,0.491,40000,5:0.922;3:0.024
W0288,52.3563,10.5726,5,0.799,0.159,40000,5:0.799;9:0.066;10:0.043;17:0.037
W0289,52.3563,10.6021,5,0.797,0.232,40000,5:0.797;3:0.071;17:0.043;10:0.04;2:0.027
W0290,52.3563,10.6317,5,0.82,0.489,29000,5:0.82;3:0.106;17:0.028
W0291,52.3563,10.6612,5,0.787,0.411,40000,5:0.787;3:0.151;17:0.022
W0292,52.3563,10.6908,5,0.639,0.098,40000,5:0.639;3:0.216;17:0.06;4:0.03
W0293,52.3563,10.8089,5,0.42,0.393,40000,5:0.42;9:0.297;10:0.071;6:0.057;8:0.051;4:0.037
W0294,52.3563,10.8384,5,0.506,0.397,39800,5:0.506;9:0.179;10:0.103;4:0.063;8:0.056;2:0.03
W0295,52.3563,10.868,5,0.61,0.125,40000,5:0.61;3:0.098;9:0.095;10:0.08;4:0.044;2:0.026
W0296,52.3563,10.9861,5,0.715,0.459,40000,5:0.715;9:0.101;3:0.06;10:0.048;17:0.032;8:0.021
W0297,52.3563,11.0157,5,0.421,0.102,40000,5:0.421;9:0.321;4:0.102;10:0.063;17:0.055
W0298,52.3563,11.0452,9,0.633,0.088,40000,9:0.633;5:0.202;4:0.041;17:0.041;2:0.04
W0299,52.3563,11.0747,5,0.624,0.308,40000,5:0.624;17:0.101;3:0.078;9:0.072;10:0.063;6:0.039
W0300,52.3563,11.1043,5,0.417,0.208,39800,5:0.417;9:0.276;10:0.12;2:0.082;17:0.049;3:0.02
W0301,52.3563,11.1338,9,0.712,0.625,40000,9:0.712;5:0.106;10:0.097;2:0.034
W0302,52.3743,10.1,5,0.47,0.207,19800,5:0.47;9:0.271;3:0.104;2:0.054;17:0.048;10:0.03
W0303,52.3743,10.1886,5,0.56,0.083,40000,5:0.56;3:0.146;2:0.125;17:0.052;9:0.045;6:0.036
W0304,52.3743,10.3068,5,0.55,0.21,40000,5:0.55;3:0.125;10:0.081;9:0.071;17:0.057;6:0.044
W0305,52.3743,10.3363,5,0.59,0.306,40000,5:0.59;3:0.2;9:0.057;6:0.043;10:0.034;17:0.03
W0306,52.3743,10.3658,9,0.459,0.023,24400,9:0.459;5:0.391;2:0.099;10:0.023
W0307,52.3743,10.3954,5,0.745,0.004,40000,5:0.745;3:0.103;17:0.103;2:0.041
W0308,52.3743,10.4249,9,0.311,0.303,40000,9:0.311;5:0.31;10:0.146;2:0.07;17:0.068;4:0.065
W0309,52.3743,10.5135,5,0.835,0.033,40000,5:0.835;17:0.08;3:0.023
W0310,52.3743,10.5726,5,0.68,0.213,40000,5:0.68;17:0.198;10:0.038;2:0.03
W0311,52.3743,10.6612,5,0.602,0.056,40000,5:0.602;3:0.158;17:0.058;4:0.053;10:0.037;9:0.032
W0312,52.3743,10.6908,5,0.569,0.41,40000,5:0.569;3:0.284;6:0.042;17:0.031;4:0.025;10:0.02
W0313,52.3743,10.7203,5,0.523,0.598,40000,5:0.523;3:0.367;10:0.06
W0314,52.3743,10.7498,5,0.607,0.435,40000,5:0.607;3:0.121;10:0.093;8:0.045;9:0.043;4:0.035
W0315,52.3743,10.7794,5,0.462,0.564,39800,5:0.462;10:0.185;8:0.137;9:0.06;3:0.056;4:0.044
W0316,52.3743,10.8089,5,0.423,0.652,40000,5:0.423;9:0.224;10:0.092;3:0.068;8:0.06;4:0.051
W0317,52.3743,10.8384,5,0.548,0.396,39800,5:0.548;9:0.148;3:0.066;17:0.046;6:0.046;8:0.044
W0318,52.3743,10.868,5,0.598,0.29,40000,5:0.598;4:0.105;9:0.089;10:0.07;8:0.06;3:0.036
W0319,52.3743,10.8975,5,0.693,0.084,33400,5:0.693;17:0.065;9:0.065;3:0.049;6:0.038;10:0.025
W0320,52.3743,10.9861,9,0.389,0.203,40000,9:0.389;5:0.37;3:0.123;10:0.04;4:0.032
W0321,52.3743,11.0157,5,0.438,0.654,40000,5:0.438;9:0.359;4:0.077;10:0.042;3:0.041;17:0.024
W0322,52.3743,11.0452,5,0.606,0.125,40000,5:0.606;9:0.148;6:0.079;17:0.079;2:0.042;10:0.038
W0323,52.3743,11.0747,5,0.335,0.184,40000,5:0.335;9:0.331;10:0.129;3:0.087;17:0.054;2:0.029
W0324,52.3923,10.2182,5,0.601,0.262,40000,5:0.601;3:0.151;10:0.068;8:0.055;4:0.029;9:0.029
W0325,52.3923,10.2477,5,0.842,0.191,40000,5:0.842;3:0.095;9:0.027
W0326,52.3923,10.3363,5,0.515,0.055,40000,5:0.515;9:0.164;6:0.123;10:0.089;2:0.034;8:0.028
W0327,52.3923,10.3658,9,0.534,0.142,24400,9:0.534;5:0.18;10:0.143;2:0.114
W0328,52.3923,10.3954,5,0.4,0.02,40000,5:0.4;9:0.268;2:0.179;10:0.084;17:0.065
W0329,52.3923,10.4545,5,0.526,0.295,40000,5:0.526;9:0.183;4:0.088;10:0.054;3:0.053;2:0.043
W0330,52.3923,10.484,5,0.794,0.356,40000,5:0.794;3:0.065;4:0.032;9:0.027;6:0.026;10:0.02
W0331,52.3923,10.5135,5,0.688,0.293,40000,5:0.688;9:0.075;10:0.053;4:0.049;17:0.041;6:0.033
W0332,52.3923,10.6021,5,0.646,0.17,40000,5:0.646;10:0.087;3:0.084;4:0.057;17:0.044;8:0.034
W0333,52.3923,10.6612,5,0.779,0.005,40000,5:0.779;3:0.069;10:0.049;9:0.034;6:0.029
W0334,52.3923,10.6908,5,0.569,0.057,40000,5:0.569;3:0.097;6:0.086;4:0.077;10:0.049;17:0.045
W0335,52.3923,10.7203,5,0.425,0.129,40000,5:0.425;3:0.306;6:0.104;4:0.046;10:0.046;17:0.034
W0336,52.3923,10.7498,5,0.685,0.249,40000,5:0.685;10:0.18;9:0.064;4:0.03
W0337,52.3923,10.7794,5,0.681,0.851,39800,5:0.681;3:0.139;10:0.092;8:0.023
W0338,52.3923,10.8089,5,0.683,0.18,40000,5:0.683;3:0.082;17:0.052;8:0.05;10:0.043;4:0.039
W0339,52.3923,10.868,5,0.381,0.295,40000,5:0.381;9:0.178;4:0.145;3:0.087;10:0.063;8:0.06
W0340,52.3923,10.8975,5,0.333,0.562,33400,5:0.333;9:0.284;4:0.113;3:0.076;10:0.065;8:0.048
W0341,52.3923,11.0157,5,0.551,0.126,40000,5:0.551;9:0.292;10:0.058;4:0.025;17:0.022;6:0.02
W0342,52.3923,11.0452,9,0.496,0.031,40000,9:0.496;5:0.297;17:0.097;10:0.064;2:0.029
W0343,52.3923,11.0747,9,0.612,0.074,40000,9:0.612;5:0.18;2:0.085;10:0.085;17:0.03
W0344,52.4104,10.1,9,0.525,0.494,19800,9:0.525;5:0.305;10:0.064;4:0.046;8:0.024
W0345,52.4104,10.1295,9,0.537,0.15,40000,9:0.537;5:0.241;10:0.059;4:0.043;8:0.041;2:0.033
W0346,52.4104,10.1886,5,0.519,0.035,40000,5:0.519;6:0.265;2:0.085;17:0.071;9:0.025;3:0.021
W0347,52.4104,10.2182,5,0.575,0.153,40000,5:0.575;6:0.229;9:0.069;2:0.039;17:0.033;10:0.027
W0348,52.4104,10.2477,5,0.719,0.178,40000,5:0.719;9:0.104;8:0.051;3:0.027;10:0.026;2:0.025
W0349,52.4104,10.2772,5,0.64,0.174,40000,5:0.64;9:0.171;10:0.09;2:0.057
W0350,52.4104,10.3363,9,0.43,0.173,40000,9:0.43;5:0.316;10:0.085;4:0.051;2:0.05;8:0.024
W0351,52.4104,10.3658,9,0.852,0.268,24400,9:0.852;5:0.065;2:0.05
W0352,52.4104,10.4249,5,0.441,0.128,40000,5:0.441;4:0.148;17:0.137;3:0.096;8:0.059;2:0.049
W0353,52.4104,10.4545,5,0.584,0.736,40000,5:0.584;9:0.176;4:0.107;10:0.039;17:0.03
W0354,52.4104,10.484,5,0.632,0.467,40000,5:0.632;9:0.122;4:0.065;17:0.057;10:0.045;2:0.027
W0355,52.4104,10.5135,5,0.462,0.353,40000,5:0.462;9:0.243;10:0.084;2:0.074;4:0.048;6:0.037
W0356,52.4104,10.5431,9,0.437,0.106,40000,9:0.437;5:0.255;2:0.089;10:0.083;6:0.051;4:0.044
W0357,52.4104,10.7498,5,0.939,0.234,40000,5:0.939;3:0.032
W0358,52.4104,10.7794,5,0.781,0.273,39800,5:0.781;3:0.109;17:0.043;10:0.036
W0359,52.4104,10.8089,5,0.678,0.202,40000,5:0.678;3:0.173;4:0.042;6:0.037;10:0.032
W0360,52.4104,10.868,9,0.387,0.555,40000,9:0.387;5:0.368;10:0.056;3:0.055;4:0.039;2:0.034
W0361,52.4104,10.8975,9,0.49,0.73,33400,9:0.49;5:0.309;4:0.056;10:0.046;2:0.044
W0362,52.4104,10.9271,5,0.48,0.408,40000,5:0.48;9:0.287;3:0.086;2:0.055;10:0.053
W0363,52.4104,10.9566,5,0.36,0.212,40000,5:0.36;9:0.218;17:0.147;10:0.121;2:0.118
W0364,52.4104,11.0452,9,0.649,0.237,40000,9:0.649;5:0.158;17:0.08;10:0.066;2:0.042
W0365,52.4284,10.1,9,0.446,0.945,19800,9:0.446;5:0.151;4:0.107;8:0.107;10:0.08;2:0.057
W0366,52.4284,10.1295,9,0.523,0.815,40000,9:0.523;5:0.28;4:0.084;10:0.053;2:0.03
W0367,52.4284,10.1591,9,0.731,0.349,40000,9:0.731;5:0.096;2:0.057;4:0.056;10:0.028
W0368,52.4284,10.1886,9,0.394,0.182,40000,9:0.394;5:0.312;10:0.091;2:0.069;4:0.048;8:0.036
W0369,52.4284,10.2182,6,0.33,0.101,40000,6:0.33;5:0.318;9:0.136;2:0.061;4:0.048;10:0.04
W0370,52.4284,10.2477,5,0.348,0.179,40000,5:0.348;9:0.164;6:0.15;4:0.087;2:0.084;8:0.077
W0371,52.4284,10.2772,5,0.399,0.177,40000,5:0.399;9:0.208;2:0.152;6:0.129;10:0.058;17:0.039
W0372,52.4284,10.3068,5,0.691,0.092,40000,5:0.691;9:0.12;10:0.079;2:0.064;17:0.035
W0373,52.4284,10.3363,9,0.553,0.192,40000,9:0.553;5:0.256;2:0.1;10:0.025;17:0.025
W0374,52.4284,10.3658,5,0.423,0.051,24400,5:0.423;9:0.308;2:0.149;10:0.077;17:0.036
W0375,52.4284,10.4545,5,0.577,0.255,40000,5:0.577;9:0.115;4:0.112;3:0.086;2:0.038;17:0.026
W0376,52.4284,10.484,5,0.586,0.123,40000,5:0.586;9:0.165;3:0.062;4:0.061;2:0.059;6:0.027
W0377,52.4284,10.5135,5,0.411,0.129,40000,5:0.411;9:0.176;4:0.14;10:0.068;6:0.062;2:0.056
W0378,52.4284,10.5431,5,0.403,0.068,40000,5:0.403;2:0.247;10:0.12;9:0.102;6:0.048;17:0.034
W0379,52.4284,10.5726,5,0.467,0.039,40000,5:0.467;9:0.201;10:0.103;2:0.1;17:0.066;6:0.022
W0380,52.4284,10.6317,5,0.797,0.266,29000,5:0.797;6:0.069;2:0.058;3:0.024;17:0.022
W0381,52.4284,10.6612,5,0.481,0.253,40000,5:0.481;9:0.156;10:0.109;2:0.104;6:0.082;17:0.051
W0382,52.4284,10.7498,5,0.34,0.001,40000,5:0.34;2:0.298;6:0.255;10:0.064;9:0.043
W0383,52.4284,10.868,5,0.469,0.299,40000,5:0.469;9:0.238;17:0.093;6:0.065;2:0.055;10:0.055
W0384,52.4284,10.8975,5,0.558,0.468,33400,5:0.558;9:0.173;17:0.079;6:0.078;10:0.04;2:0.039
W0385,52.4284,10.9271,5,0.55,0.248,40000,5:0.55;9:0.16;2:0.124;10:0.087;17:0.047;6:0.024
W0386,52.4284,10.9566,2,0.335,0.08,40000,2:0.335;5:0.234;9:0.158;17:0.098;6:0.088;10:0.057
W0387,52.4284,11.0157,5,0.627,0.028,40000,5:0.627;17:0.122;9:0.099;2:0.073;10:0.04;3:0.037
W0388,52.4284,11.0452,5,0.461,0.131,40000,5:0.461;17:0.237;9:0.13;2:0.071;10:0.05;6:0.037
W0389,52.4284,11.1338,5,0.5,0.178,40000,5:0.5;17:0.229;6:0.096;10:0.061;2:0.056;9:0.035
W0390,52.4464,10.1,9,0.52,0.774,13761,9:0.52;4:0.157;8:0.112;5:0.077;10:0.054;2:0.046
W0391,52.4464,10.1295,9,0.679,0.369,27800,9:0.679;2:0.116;4:0.105;5:0.063
W0392,52.4464,10.1591,9,0.814,0.173,27800,9:0.814;2:0.085;5:0.054;17:0.031
W0393,52.4464,10.2477,5,0.379,0.246,27800,5:0.379;9:0.309;6:0.077;8:0.065;2:0.06;4:0.04
W0394,52.4464,10.2772,5,0.715,0.096,27800,5:0.715;9:0.088;2:0.075;10:0.054;3:0.024
W0395,52.4464,10.3068,5,0.409,0.102,27800,5:0.409;9:0.406;2:0.072;3:0.03;10:0.03;4:0.027
W0396,52.4464,10.3363,9,0.637,0.305,27800,9:0.637;5:0.173;10:0.068;2:0.055;4:0.045
W0397,52.4464,10.3658,9,0.346,0.081,16958,9:0.346;5:0.338;17:0.167;2:0.103;10:0.04
W0398,52.4464,10.3954,5,0.447,0.324,27800,5:0.447;9:0.308;10:0.115;4:0.063;2:0.028;8:0.022
W0399,52.4464,10.4545,9,0.744,0.429,27800,9:0.744;4:0.086;2:0.081;5:0.037;10:0.029
W0400,52.4464,10.484,9,0.665,0.585,27800,9:0.665;2:0.131;5:0.087;4:0.053;10:0.037
W0401,52.4464,10.5135,9,0.352,0.24,27800,9:0.352;2:0.263;5:0.214;10:0.092;17:0.05
W0402,52.4464,10.5431,5,0.527,0.224,27800,5:0.527;9:0.201;2:0.118;10:0.091;17:0.041
W0403,52.4464,10.5726,9,0.484,0.267,27800,9:0.484;5:0.326;10:0.102;2:0.04;4:0.034
W0404,52.4464,10.6021,9,0.327,0.202,27800,9:0.327;5:0.322;2:0.138;10:0.109;4:0.042;17:0.034
W0405,52.4464,10.6317,9,0.556,0.515,20155,9:0.556;2:0.177;5:0.125;10:0.064;6:0.025
W0406,52.4464,10.6612,9,0.551,0.74,27800,9:0.551;5:0.15;10:0.119;2:0.107;6:0.046
W0407,52.4464,10.6908,9,0.401,0.914,27800,9:0.401;5:0.23;2:0.166;10:0.118;6:0.064
W0408,52.4464,10.7203,9,0.501,0.585,27800,9:0.501;5:0.231;2:0.134;10:0.084;6:0.03
W0409,52.4464,10.7794,5,0.844,0.061,27661,5:0.844;9:0.088;10:0.027;17:0.02
W0410,52.4464,10.8089,5,0.346,0.138,27800,5:0.346;10:0.288;17:0.128;9:0.067;8:0.063;4:0.048
W0411,52.4464,10.8975,5,0.439,0.546,23213,5:0.439;9:0.274;6:0.119;17:0.08;2:0.041;10:0.034
W0412,52.4464,10.9271,5,0.636,0.389,27800,5:0.636;9:0.151;2:0.109;6:0.037;10:0.03
W0413,52.4464,11.1043,5,0.405,0.283,27661,5:0.405;17:0.22;2:0.17;6:0.152;10:0.048
W0414,52.4464,11.1338,5,0.574,0.236,27800,5:0.574;6:0.152;17:0.142;2:0.072;10:0.033;9:0.021
W0415,52.4644,10.1,5,0.349,0.121,19800,5:0.349;9:0.318;2:0.159;6:0.072;4:0.043;10:0.039
W0416,52.4644,10.1295,5,0.408,0.082,40000,5:0.408;2:0.229;9:0.185;6:0.058;4:0.057;10:0.029
W0417,52.4644,10.1591,5,0.39,0.231,40000,5:0.39;9:0.169;4:0.125;6:0.116;2:0.068;10:0.051
W0418,52.4644,10.1886,5,0.4,0.082,40000,5:0.4;6:0.223;8:0.107;2:0.094;4:0.092;10:0.055
W0419,52.4644,10.2182,5,0.506,0.004,40000,5:0.506;4:0.295;17:0.071;9:0.064;2:0.038
W0420,52.4644,10.2477,5,0.689,0.093,40000,5:0.689;9:0.113;3:0.07;4:0.049;17:0.026;2:0.025
W0421,52.4644,10.2772,9,0.582,0.216,40000,9:0.582;5:0.274;2:0.086;10:0.049
W0422,52.4644,10.3068,9,0.691,0.244,40000,9:0.691;5:0.165;2:0.05;10:0.048;4:0.032
W0423,52.4644,10.3363,9,0.645,0.158,40000,9:0.645;5:0.161;2:0.055;10:0.045;4:0.043;17:0.03
W0424,52.4644,10.3658,9,0.85,0.44,24400,9:0.85;4:0.062;2:0.04;5:0.02
W0425,52.4644,10.3954,9,0.886,0.893,40000,9:0.886;2:0.041;5:0.035;4:0.027
W0426,52.4644,10.4249,9,0.801,0.631,40000,9:0.801;2:0.095;5:0.068
W0427,52.4644,10.4545,9,0.806,0.866,40000,9:0.806;4:0.06;2:0.043;5:0.036;10:0.027
W0428,52.4644,10.484,9,0.731,0.693,40000,9:0.731;2:0.116;10:0.065;5:0.027;4:0.027
W0429,52.4644,10.5135,9,0.629,0.411,40000,9:0.629;5:0.116;10:0.11;2:0.103
W0430,52.4644,10.5431,9,0.453,0.195,40000,9:0.453;5:0.228;10:0.131;2:0.105;8:0.025;4:0.023
W0431,52.4644,10.5726,9,0.479,0.415,40000,9:0.479;5:0.203;10:0.191;2:0.07;4:0.025
W0432,52.4644,10.6021,9,0.362,0.337,40000,9:0.362;5:0.281;2:0.138;10:0.129;4:0.055
W0433,52.4644,10.6317,9,0.456,0.687,29000,9:0.456;5:0.152;10:0.148;4:0.129;2:0.059;8:0.035
W0434,52.4644,10.6612,9,0.4,0.72,40000,9:0.4;5:0.264;2:0.151;6:0.081;10:0.074
W0435,52.4644,10.6908,9,0.42,0.366,40000,9:0.42;5:0.216;2:0.16;10:0.15;6:0.031
W0436,52.4644,10.7794,5,0.546,0.202,39800,5:0.546;9:0.129;10:0.105;17:0.097;2:0.061;6:0.029
W0437,52.4644,10.8089,9,0.332,0.308,40000,9:0.332;5:0.293;10:0.195;2:0.082;17:0.044;4:0.038
W0438,52.4644,10.8384,5,0.477,0.032,39800,5:0.477;2:0.207;9:0.145;10:0.082;17:0.054;6:0.032
W0439,52.4644,10.868,5,0.47,0.144,40000,5:0.47;6:0.233;17:0.124;9:0.066;2:0.055;10:0.042
W0440,52.4644,10.8975,5,0.61,0.189,33400,5:0.61;9:0.191;17:0.087;10:0.045;6:0.032;2:0.023
W0441,52.4644,10.9271,5,0.608,0.296,40000,5:0.608;17:0.122;6:0.119;2:0.077;9:0.032;10:0.021
W0442,52.4644,10.9566,17,0.67,0.022,40000,17:0.67;5:0.286;2:0.035
W0443,52.4644,11.0452,5,0.699,0.119,40000,5:0.699;17:0.099;2:0.07;9:0.039;3:0.032;4:0.028
W0444,52.4644,11.1043,5,0.469,0.197,39800,5:0.469;17:0.173;9:0.158;6:0.097;2:0.076
W0445,52.4644,11.1338,5,0.697,0.035,40000,5:0.697;6:0.213;17:0.064
W0446,52.4824,10.1295,5,0.522,0.304,40000,5:0.522;6:0.39;2:0.037;17:0.031
W0447,52.4824,10.1591,5,0.502,0.502,40000,5:0.502;6:0.353;2:0.039;3:0.035;17:0.026
W0448,52.4824,10.1886,5,0.678,0.311,40000,5:0.678;3:0.184;6:0.079;10:0.022
W0449,52.4824,10.2477,9,0.644,0.21,40000,9:0.644;5:0.171;2:0.08;10:0.074;4:0.022
W0450,52.4824,10.2772,5,0.518,0.123,40000,5:0.518;9:0.221;2:0.109;10:0.093
W0451,52.4824,10.3068,5,0.461,0.139,40000,5:0.461;9:0.321;2:0.102;10:0.058;4:0.026
W0452,52.4824,10.3954,9,0.867,0.584,40000,9:0.867;2:0.064;4:0.033;5:0.027
W0453,52.4824,10.4249,9,0.859,0.857,40000,9:0.859;2:0.053;5:0.035;4:0.03
W0454,52.4824,10.4545,9,0.54,0.645,40000,9:0.54;4:0.168;5:0.136;2:0.069;10:0.04
W0455,52.4824,10.484,9,0.616,0.539,40000,9:0.616;5:0.128;2:0.109;10:0.054;4:0.032;6:0.03
W0456,52.4824,10.5135,9,0.61,0.314,40000,9:0.61;5:0.17;10:0.1;2:0.083
W0457,52.4824,10.5726,9,0.447,0.072,40000,9:0.447;5:0.307;10:0.095;2:0.083;17:0.035
W0458,52.4824,10.6021,9,0.467,0.382,40000,9:0.467;10:0.142;5:0.129;4:0.096;2:0.09;8:0.048
W0459,52.4824,10.6317,9,0.397,0.342,29000,9:0.397;5:0.195;10:0.124;4:0.105;2:0.082;8:0.058
W0460,52.4824,10.6612,5,0.394,0.173,40000,5:0.394;9:0.175;2:0.163;6:0.134;10:0.06;4:0.026
W0461,52.4824,10.6908,9,0.386,0.253,40000,9:0.386;5:0.253;2:0.115;10:0.11;6:0.056;3:0.038
W0462,52.4824,10.7203,5,0.348,0.165,40000,5:0.348;9:0.301;10:0.168;2:0.12;17:0.027
W0463,52.4824,10.7794,9,0.53,0.227,39800,9:0.53;2:0.183;10:0.111;5:0.103;6:0.038
W0464,52.4824,10.8089,9,0.381,0.079,40000,9:0.381;5:0.242;2:0.17;10:0.143;17:0.04
W0465,52.4824,10.9566,2,0.282,0.066,40000,2:0.282;5:0.28;17:0.208;6:0.135;3:0.044;10:0.033
W0466,52.4824,10.9861,5,0.548,0.208,40000,5:0.548;2:0.236;17:0.084;6:0.076;10:0.023
W0467,52.4824,11.0157,5,0.585,0.263,40000,5:0.585;17:0.157;6:0.114;2:0.085;3:0.022
W0468,52.4824,11.0452,5,0.579,0.19,40000,5:0.579;17:0.165;2:0.133;6:0.089
W0469,52.5005,10.1,5,0.549,0.087,19800,5:0.549;9:0.203;4:0.092;6:0.088;3:0.03
W0470,52.5005,10.1295,5,0.499,0.287,40000,5:0.499;9:0.135;4:0.123;10:0.067;3:0.053;6:0.047
W0471,52.5005,10.1591,5,0.654,0.241,40000,5:0.654;4:0.077;8:0.064;10:0.044;3:0.042;9:0.039
W0472,52.5005,10.1886,5,0.554,0.06,40000,5:0.554;6:0.225;17:0.071;2:0.069;9:0.028;3:0.024
W0473,52.5005,10.2477,9,0.57,0.285,40000,9:0.57;5:0.195;2:0.097;4:0.052;10:0.04
W0474,52.5005,10.2772,5,0.715,0.14,40000,5:0.715;9:0.066;3:0.044;6:0.043;10:0.041;2:0.033
W0475,52.5005,10.3068,5,0.662,0.161,40000,5:0.662;6:0.107;9:0.107;2:0.049;17:0.021
W0476,52.5005,10.3954,9,0.695,0.453,40000,9:0.695;5:0.105;4:0.079;2:0.077
W0477,52.5005,10.4249,9,0.605,0.225,40000,9:0.605;5:0.133;4:0.085;2:0.082;10:0.033;8:0.025
W0478,52.5005,10.4545,9,0.654,0.532,40000,9:0.654;2:0.108;4:0.084;5:0.065;10:0.049;6:0.025
W0479,52.5005,10.484,9,0.796,0.291,40000,9:0.796;2:0.077;5:0.066;10:0.024;4:0.021
W0480,52.5005,10.5135,9,0.594,0.105,40000,9:0.594;5:0.181;2:0.096;10:0.082;17:0.026
W0481,52.5005,10.5431,9,0.39,0.062,40000,9:0.39;5:0.197;10:0.158;2:0.13;6:0.097
W0482,52.5005,10.5726,9,0.442,0.484,40000,9:0.442;5:0.164;2:0.131;10:0.121;4:0.06;6:0.053
W0483,52.5005,10.6021,5,0.325,0.268,40000,5:0.325;9:0.309;2:0.16;6:0.073;10:0.066;4:0.04
W0484,52.5005,10.6612,9,0.592,0.274,40000,9:0.592;5:0.218;2:0.073;4:0.038;10:0.029
W0485,52.5005,10.6908,9,0.724,0.499,40000,9:0.724;2:0.093;5:0.062;10:0.056;6:0.029;4:0.022
W0486,52.5005,10.7203,9,0.434,0.315,40000,9:0.434;10:0.135;4:0.119;2:0.113;5:0.088;8:0.079
W0487,52.5005,10.7498,9,0.402,0.205,40000,9:0.402;5:0.298;10:0.108;2:0.093;4:0.032;6:0.03
W0488,52.5005,10.8089,5,0.364,0.076,40000,5:0.364;9:0.362;10:0.107;2:0.065;17:0.052
W0489,52.5005,10.8384,9,0.844,0.398,39800,9:0.844;10:0.047;2:0.042;5:0.04
W0490,52.5005,10.868,9,0.672,0.327,40000,9:0.672;5:0.134;10:0.093;2:0.058;17:0.032
W0491,52.5005,10.8975,9,0.378,0.228,33400,9:0.378;5:0.376;10:0.085;2:0.076;17:0.05
W0492,52.5005,10.9271,2,0.34,0.488,40000,2:0.34;6:0.264;5:0.137;9:0.131;17:0.073;10:0.035
W0493,52.5005,10.9566,2,0.438,0.763,40000,2:0.438;6:0.405;5:0.099;10:0.028
W0494,52.5005,10.9861,6,0.606,0.441,40000,6:0.606;2:0.225;5:0.111;17:0.044
W0495,52.5005,11.1043,9,0.479,0.181,39800,9:0.479;5:0.302;2:0.067;6:0.06;10:0.048;17:0.042
W0496,52.5185,10.1,5,0.685,0.848,19701,5:0.685;6:0.08;3:0.075;4:0.048;9:0.046;10:0.036
