gbif_id,lat,lon,datum,monat,jahr
6003686802,52.2886,10.58563,2026-01-18,1,2026
6003688574,52.36343,10.74983,2026-01-17,1,2026
6003689578,52.29028,10.58587,2026-01-18,1,2026
6130356173,52.25538,10.53763,2026-01-20,1,2026
6130376288,52.26942,10.49981,2026-01-15,1,2026
6130568958,52.25367,10.45895,2026-01-11,1,2026
6131234141,52.38729,10.34535,2026-01-18,1,2026
6150263661,52.35408,10.57935,2026-01-21,1,2026
6150366444,52.29079,10.51312,2026-01-03,1,2026
6150601647,52.25551,10.59637,2026-01-17,1,2026
6150627202,52.12114,10.32225,2026-01-13,1,2026
6150629669,52.14336,10.76631,2026-01-16,1,2026
6151051555,52.27562,10.58011,2026-01-25,1,2026
6151160904,52.31748,10.44997,2026-01-28,1,2026
6151209661,52.28684,10.5042,2026-01-03,1,2026
6151396749,52.43072,10.27365,2026-01-27,1,2026
6151587858,52.13607,10.3402,2026-01-16,1,2026
6151672226,52.12211,10.28568,2026-01-16,1,2026
6151700315,52.34361,10.71163,2026-01-01,1,2026
6151961913,52.50171,10.16606,2026-01-16,1,2026
6151987326,52.28601,10.50528,2026-01-18,1,2026
6152287995,52.26763,10.60322,2026-01-16,1,2026
6152312582,52.34702,10.40217,2026-01-19,1,2026
6152322580,52.15443,10.3175,2026-01-14,1,2026
6162912728,52.26804,10.56256,2026-01-21,1,2026
6342028011,52.24994,10.45998,2026-01-24,1,2026
6342263892,52.25676,10.45974,2026-01-24,1,2026
6411104487,52.12115,10.29029,2026-01-16,1,2026
6147202400,52.28883,10.50079,2026-02-06,2,2026
6150354329,52.62932,10.98299,2026-02-10,2,2026
6150388607,52.60473,10.59314,2026-02-12,2,2026
6150565524,52.10139,10.18824,2026-02-09,2,2026
6150801208,52.6316,10.98349,2026-02-10,2,2026
6150980758,52.14811,10.80604,2026-02-15,2,2026
6151098195,52.13217,10.34573,2026-02-10,2,2026
6151543865,52.49778,10.1686,2026-02-09,2,2026
6151640493,52.52254,10.59034,2026-02-12,2,2026
6151865186,52.14601,10.79559,2026-02-15,2,2026
