art,gbif_id,datum,lat,lon,unsicherheit_m,ort
steinpilz,5902599857,2025-10-29,53.27339,10.27312,776.0,LG Reppenstedt
steinpilz,5902789991,2025-10-30,53.16283,9.98224,4.0,HK Bispingen
steinpilz,5903072804,2025-10-08,53.27026,9.85016,,LSG Büsenbachtal
steinpilz,5903245865,2025-10-09,52.17491,9.44515,7.0,LSG Süntel
steinpilz,5903261646,2025-10-24,53.15627,9.82599,3.0,HK - Camp Reinsehlen
steinpilz,6137474429,2025-10-22,53.18064,9.86856,250.0,Haus Ehrhorn & Umgebung
steinpilz,6137482052,2025-10-24,53.15017,9.82332,250.0,Camp Reinsehlen
steinpilz,6170882685,2025-10-26,52.22087,10.58729,910.0,
steinpilz,6170931074,2025-10-31,53.13536,9.77653,20.0,
steinpilz,5892357697,2025-11-05,51.98042,10.43156,129.0,
steinpilz,5892531384,2025-11-06,52.12572,9.41183,4.0,
steinpilz,5892835343,2025-11-10,52.16355,9.38649,53.0,
steinpilz,5897672490,2025-11-14,51.61925,10.26484,,
steinpilz,5897737902,2025-11-14,51.61925,10.26484,,
steinpilz,5898617787,2025-11-15,53.07177,10.00297,15.0,GHR-Schule Bispingen
steinpilz,5901346190,2025-11-20,52.21761,11.83007,26.0,JL Möser
steinpilz,5901642149,2025-11-10,53.21,10.42,1000.0,LG NSG Ilmenauniederung mit Tiergarten
steinpilz,5901665616,2025-11-15,53.35394,9.92299,2.0,WL Rosengarten
steinpilz,5901901034,2025-11-23,53.35253,10.43434,,LG Brietlingen
steinpilz,5902100474,2025-11-05,53.4074,9.54098,7.0,STD Sauensiek
steinpilz,5902443461,2025-11-14,53.21006,10.34796,,LG Südergellersen
steinpilz,5902866512,2025-11-17,53.23506,9.82229,14.0,WL Handeloh
steinpilz,5903052088,2025-11-17,53.12181,9.9289,2.0,HK Bispingen
steinpilz,5903093695,2025-11-10,53.00168,10.8005,4.0,UE Rosche
steinpilz,5903171165,2025-11-08,52.67622,10.11562,109.0,CE Celle (Landkreis)
steinpilz,5903188018,2025-11-09,51.68423,9.44789,,LSG Solling
steinpilz,5903569257,2025-11-17,53.24437,10.20293,250.0,"Luhmühlen, Große Heide, nördl. Turnierplatz"
steinpilz,5920434583,2025-11-12,52.9815,9.27185,9.0,
steinpilz,6410868303,2025-11-21,53.13728,10.1079,3.0,LG Soderstorf
steinpilz,6411602874,2025-11-16,53.35414,9.92341,,WL Rosengarten
steinpilz,6423513503,2024-07-15,52.24809,9.1529,,LSG Bückeberge
steinpilz,4931528267,2024-08-04,51.56824,9.95404,130.0,GÖ LSG Leinetal
steinpilz,4933242532,2024-08-14,51.529,9.00239,5.0,NSG Hammerbachtal
steinpilz,4936966286,2024-08-29,51.87525,10.21063,26132.0,
steinpilz,4946217922,2024-09-16,53.151,9.07512,3.0,
steinpilz,4946312023,2024-09-13,53.22133,9.24348,4.0,
steinpilz,4952525053,2024-09-28,51.7174,11.08179,513.0,
steinpilz,4952622754,2024-09-28,51.71762,11.08115,543.0,
steinpilz,4956331913,2024-09-24,53.1751,9.96991,,LG VSG Lüneburger Heide
steinpilz,4956401040,2024-09-24,53.16468,9.96627,28.0,LG VSG Lüneburger Heide
steinpilz,4956423781,2024-09-05,52.88705,10.09432,8.0,LSG Südheide im Landkreis Celle
steinpilz,4956511938,2024-09-27,52.49603,9.70177,4.0,Bissendorfer Moor - N2000
steinpilz,4956592777,2024-09-26,53.40674,10.2353,,Zollenspieker/Kiebitzbrack - N2000
steinpilz,4956697739,2024-09-25,53.16132,9.96711,1.0,LG VSG Lüneburger Heide
steinpilz,4956822705,2024-09-29,53.03571,9.87278,5.0,Lüneburger Heide - N2000
steinpilz,4956862431,2024-09-24,53.16832,9.96044,,LG VSG Lüneburger Heide
steinpilz,4957324790,2024-09-29,53.34625,10.06451,10.0,LSG Buchwedel und Umgebung
steinpilz,4957632166,2024-09-27,53.14516,9.8221,1.0,HK - Camp Reinsehlen
steinpilz,4957897268,2024-09-27,52.42252,10.9392,10.0,LSG Velpker Schweiz
steinpilz,4957904990,2024-09-29,52.46192,9.86364,15.0,H Isernhagen LSG Obere Wietze
steinpilz,4957938365,2024-09-25,52.70658,9.64451,110.0,HK Heidekreis (Landkreis)
steinpilz,4957950458,2024-09-28,53.10403,9.84498,3.0,LG VSG Lüneburger Heide
steinpilz,4994047339,2024-09-28,51.68468,11.07304,31.0,
steinpilz,5008205197,2024-09-21,52.1413,9.35881,,
steinpilz,5016001454,2024-09-22,52.44976,9.14762,250.0,Klosterwald Loccum
steinpilz,5022755021,2024-09-29,52.46462,9.93061,250.0,Oldhorster Moor
steinpilz,5023896165,2024-09-29,52.46332,9.86434,250.0,Lohner Wald
steinpilz,5024026201,2024-09-30,52.59806,10.05158,250.0,Celle - Bogenplatz SC Wietzenbruch
steinpilz,5025469179,2024-09-29,52.46332,9.86434,250.0,Lohner Wald
steinpilz,5026312389,2024-09-21,52.53689,9.70311,250.0,Henjeskamp
steinpilz,5027533904,2024-09-29,52.46332,9.86434,250.0,Lohner Wald
steinpilz,5166801525,2024-09-22,53.12456,9.76442,15.0,
steinpilz,5176969464,2024-09-21,51.94024,10.20551,6.0,
steinpilz,4954393943,2024-10-13,53.28498,10.55074,2.0,
steinpilz,4954425703,2024-10-12,52.98464,11.88818,415.0,
steinpilz,4954463949,2024-10-11,53.31111,11.54139,61.0,
steinpilz,4954497621,2024-10-03,53.08162,9.18695,32.0,
steinpilz,4954602862,2024-10-11,53.31264,11.53836,61.0,
steinpilz,4954671903,2024-10-11,53.31058,11.53727,31.0,
steinpilz,4956414588,2024-10-02,53.45799,9.83889,3.0,Fischbeker Heide - N2000
steinpilz,4973871206,2024-10-19,53.30764,11.5397,,
steinpilz,4973932535,2024-10-19,51.50531,11.91801,89.0,
steinpilz,4974242819,2024-10-18,53.22158,9.95508,1163.0,
steinpilz,4976264838,2024-10-25,52.42667,10.30159,2476.0,
steinpilz,4976445492,2024-10-26,52.67908,10.45078,26004.0,
steinpilz,4976532680,2024-10-24,53.23398,10.81236,2.0,
steinpilz,4976663661,2024-10-24,53.3109,10.46618,2.0,
steinpilz,4985495929,2024-10-24,52.53318,10.46165,,GF Gifhorn (Landkreis)
steinpilz,4985529968,2024-10-18,52.27259,10.57845,15.0,VSG Riddagshäuser Teiche
steinpilz,4986219626,2024-10-19,53.05177,9.9138,3.0,LG VSG Lüneburger Heide
steinpilz,4986618096,2024-10-16,52.57882,9.33079,5.0,LSG Grinder Wald
steinpilz,4993802903,2024-10-19,51.70482,11.25411,32.0,
steinpilz,5013494630,2024-10-13,51.76667,10.34195,250.0,"Buntenbock, Waldgebiet"
steinpilz,5014904735,2024-10-08,52.90248,9.55038,250.0,Grundloses Moor und Grundloser See bei Walsrode
steinpilz,5015967018,2024-10-05,52.53689,9.70311,250.0,Henjeskamp
steinpilz,5017348566,2024-10-04,53.42038,11.35265,250.0,Waldgebiet bei Kraak
steinpilz,5018594787,2024-10-12,51.83695,10.39942,250.0,Brandkopf mit Schalker Teich
