id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F53.221_10.413,53.221,10.413,5.43,20.2,62.2,12.2,25.63,50.53,4.76
F53.309_11.538,53.309,11.538,5.93,21.67,79.67,7.07,13.27,41.37,4.09
F52.498_10.727,52.498,10.727,5.2,21.5,60.43,13.4,26.17,47.07,3.44
F53.175_10.025,53.175,10.025,5.57,21.4,72.1,10.53,17.37,60.67,4.48
F52.441_10.47,52.441,10.47,5.37,21.53,62.6,14.7,22.73,43.03,4.09
F53.164_11.028,53.164,11.028,5.23,21.17,54.63,12.57,32.83,70.03,3.38
F53.462_9.874,53.462,9.874,4.93,19.23,47.03,14.07,38.9,63.07,3.68
F52.154_10.623,52.154,10.623,6.83,22.37,30.97,24.63,44.4,36.63,3.47
F52.33_10.418,52.33,10.418,5.77,22.03,50.53,21.03,28.47,43.13,3.19
F52.141_10.429,52.141,10.429,5.93,23.17,35.37,17.53,47.1,65.63,3.5
F51.974_10.001,51.974,10.001,5.4,20.2,18.37,32.6,49.1,47.63,4.12
F51.748_10.575,51.748,10.575,4.87,29.6,27.6,23.07,49.3,91.1,5.29
F52.276_10.577,52.276,10.577,5.7,24.43,36.43,28.53,34.97,56.33,4.05
F52.236_10.654,52.236,10.654,5.6,22.6,37.6,23.17,39.27,40.07,3.44
F52.18_11.838,52.18,11.838,5.37,24.97,66.4,12.43,21.17,52.5,4.76
F53.211_10.334,53.211,10.334,5.63,21.5,58.9,15.2,25.9,51.03,4.37
F52.937_9.258,52.937,9.258,5.17,18.63,63.53,14.17,22.37,56.93,3.41
F52.26_10.459,52.26,10.459,5.93,23.37,40.1,22.73,37.17,39.73,3.52
F52.243_9.626,52.243,9.626,5.4,19.23,21.73,23.6,54.67,31.67,2.94
F51.521_10.185,51.521,10.185,6.63,21.5,41.83,16.77,41.43,30.37,2.89
F52.391_9.777,52.391,9.777,5.37,18.83,44.67,26.3,28.97,45.67,4.27
F53.104_10.841,53.104,10.841,5.23,17.8,62.5,13.2,24.27,67.47,3.75
F52.268_11.569,52.268,11.569,5.27,27.33,45.13,19.07,35.77,53.17,4.93
F53.187_9.933,53.187,9.933,5.0,16.53,43.4,19.5,37.1,76.6,3.75
F52.441_9.82,52.441,9.82,5.8,21.5,51.37,25.3,23.4,36.93,3.78
F51.562_9.911,51.562,9.911,5.8,22.6,36.63,24.5,38.83,39.9,3.25
F51.78_10.994,51.78,10.994,5.47,25.4,23.73,25.57,50.63,45.93,4.41
F52.262_11.12,52.262,11.12,4.93,22.63,37.5,18.13,44.33,46.97,4.11
F52.72_10.471,52.72,10.471,5.1,21.13,58.6,12.47,28.93,52.03,2.9
F52.547_9.308,52.547,9.308,5.63,20.53,69.33,12.53,18.13,47.5,3.97
F52.216_9.527,52.216,9.527,5.07,21.9,13.4,29.37,57.3,57.77,4.04
F53.05_11.411,53.05,11.411,5.2,21.43,73.63,9.1,17.3,61.77,3.49
F52.103_10.327,52.103,10.327,5.33,20.93,21.57,32.03,46.37,56.2,3.83
F52.273_10.591,52.273,10.591,5.17,22.6,35.5,27.07,37.43,47.43,4.06
F52.146_9.356,52.146,9.356,5.17,20.0,18.4,29.6,52.0,50.9,3.77
