datum,meldungen
2021-06-27,2
2021-07-05,2
2021-07-12,1
2021-07-14,3
2021-07-15,2
2021-07-17,2
2021-07-18,2
2021-07-19,1
2021-07-22,3
2021-07-23,4
2021-07-25,2
2021-08-01,1
2021-08-03,3
2021-08-07,1
2021-08-09,1
2021-08-11,6
2021-08-13,1
2021-08-15,1
2021-08-20,3
2021-08-23,1
2021-08-24,1
2021-08-25,1
2021-08-26,4
2021-08-29,4
2021-08-30,1
2021-08-31,8
2021-09-01,5
2021-09-02,11
2021-09-03,1
2021-09-04,20
2021-09-05,5
2021-09-07,1
2021-09-08,6
2021-09-09,1
2021-09-10,2
2021-09-11,7
2021-09-12,77
2021-09-13,5
2021-09-14,8
2021-09-15,1
2021-09-16,6
2021-09-17,4
2021-09-18,3
2021-09-19,9
2021-09-20,3
2021-09-21,6
2021-09-23,9
2021-09-24,2
2021-09-25,7
2021-09-26,4
2021-09-27,1
2021-09-28,1
2021-09-30,3
2021-10-02,2
2021-10-03,1
2021-10-04,1
2021-10-05,3
2021-10-06,1
2021-10-07,3
2021-10-08,1
2021-10-09,10
2021-10-10,6
2021-10-11,5
2021-10-12,3
2021-10-13,1
2021-10-14,1
2021-10-15,3
2021-10-16,15
2021-10-17,4
2021-10-18,4
2021-10-19,1
2021-10-20,8
2021-10-23,12
2021-10-24,10
2021-10-25,2
2021-10-26,2
2021-10-27,2
2021-10-28,2
2021-10-29,2
2021-10-30,7
2021-11-01,6
2021-11-02,4
2021-11-03,1
2021-11-06,1
2021-11-07,3
2021-11-08,4
2021-11-09,3
2021-11-10,9
2021-11-11,1
2021-11-12,1
2021-11-13,6
2021-11-14,8
2021-11-16,6
2021-11-17,3
2021-11-18,4
2021-11-19,1
2021-11-20,1
2021-11-21,16
2021-11-22,3
2021-11-24,3
2021-11-28,1
2021-12-02,3
2021-12-04,1
2021-12-05,1
2021-12-06,1
2021-12-08,2
2021-12-09,5
2021-12-10,2
2021-12-11,1
2021-12-13,7
2021-12-15,1
2021-12-17,1
2021-12-19,7
2021-12-20,3
2021-12-23,2
2021-12-28,1
2021-12-31,6
2022-01-01,2
2022-01-02,3
2022-01-06,1
2022-01-08,5
2022-01-10,4
2022-01-13,4
2022-01-15,3
2022-01-16,2
2022-01-18,2
2022-01-19,6
2022-01-20,13
2022-01-22,2
2022-01-23,1
2022-01-25,13
2022-01-28,3
2022-01-29,2
2022-03-02,1
2022-03-03,1
2022-03-05,4
2022-03-07,1
2022-03-11,2
2022-03-16,4
2022-03-19,3
2022-03-20,1
2022-03-22,1
2022-03-23,6
2022-03-24,3
