datum,meldungen
2026-06-11,4
2026-06-12,4
2026-06-13,4
2026-06-14,9
2026-06-15,7
2026-06-16,2
2026-06-17,7
2026-06-18,1
2026-06-19,2
2026-06-20,4
2026-06-21,11
2026-06-22,3
2026-06-23,3
2026-06-24,1
2026-06-25,1
2026-06-27,5
2026-06-29,3
2026-06-30,1
2026-07-01,1
2026-07-02,3
2026-07-03,2
2026-07-04,1
2026-07-10,3
2026-07-13,1
2026-07-14,2
2026-07-15,4
2026-07-16,2
2026-07-17,6
2026-07-18,8
2026-07-19,5
2026-07-21,3
2026-07-22,3
2026-07-23,3
2026-07-24,1
2026-07-25,3
2026-07-28,1
2026-07-31,1
2026-08-01,5
2026-08-04,1
2026-08-05,1
2026-08-07,1
2026-08-08,1
