art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
steinpilz,5013154022,2019-10-31,51.87365,10.6237,10,554.0,17.9,0.1,4,4,184.2,1.6,91.4,9.1,6.7,0.374,8.3,0.375,,,,15,,
marone,2456514188,2019-10-31,51.86677,10.57909,10,554.0,17.9,0.1,4,4,184.2,1.6,91.4,9.1,6.7,0.374,8.3,0.375,,,,15,,
steinpilz,4091642318,2019-10-15,52.69638,11.45719,10,32.0,49.1,1.4,8,7,110.4,28.7,-42.6,12.1,14.5,0.36,14.0,0.352,,,,15,,
steinpilz,4410771368,2019-10-25,52.12513,10.15369,10,173.0,40.8,0.0,6,5,168.7,18.4,42.8,14.3,12.9,0.374,13.2,0.373,,,,15,,
steinpilz,5012955192,2019-10-13,52.77403,9.73011,10,59.0,87.7,6.8,13,4,162.3,75.3,13.7,11.7,12.2,0.261,12.0,0.25,,,,15,,
parasol,5015474396,2019-10-13,52.77403,9.73011,10,59.0,87.7,6.8,13,4,162.3,75.3,13.7,11.7,12.2,0.261,12.0,0.25,,,,15,,
steinpilz,5013254983,2019-10-18,53.1897,10.89264,10,51.0,23.3,35.9,10,0,158.9,40.8,19.2,12.0,14.2,0.271,14.0,0.261,,,,15,,
steinpilz,5015201115,2019-10-27,51.81221,9.64423,10,348.0,51.3,2.8,7,7,185.9,35.4,77.7,13.2,12.0,0.363,12.5,0.365,,,,15,,
marone,5027847167,2019-10-27,51.81221,9.64423,10,348.0,51.3,2.8,7,7,185.9,35.4,77.7,13.2,12.0,0.363,12.5,0.365,,,,15,,
birkenpilz,5026587021,2019-10-27,51.81221,9.64423,10,348.0,51.3,2.8,7,7,185.9,35.4,77.7,13.2,12.0,0.363,12.5,0.365,,,,15,,
steinpilz,5019316809,2019-10-25,52.25471,9.56703,10,159.0,44.4,0.0,7,5,159.9,23.3,36.8,14.4,12.8,0.378,13.1,0.378,,,,15,,
marone,5024960373,2019-10-25,52.25471,9.56703,10,159.0,44.4,0.0,7,5,159.9,23.3,36.8,14.4,12.8,0.378,13.1,0.378,,,,15,,
steinpilz,5023558260,2019-10-05,52.94905,10.56765,10,60.0,64.9,18.2,12,1,126.7,59.1,-42.2,13.3,11.2,0.286,12.1,0.263,,,,15,,
steinpilz,5025814840,2019-10-19,53.15382,10.42026,10,82.0,18.4,46.9,10,0,168.4,46.2,27.1,12.2,13.8,0.276,13.8,0.267,,,,15,,
steinpilz,5026411736,2019-10-03,53.1368,10.79263,10,79.0,39.1,38.5,7,1,136.5,52.0,-34.8,13.7,12.7,0.269,13.4,0.228,,,,15,,
marone,5016629247,2019-10-03,53.1368,10.79263,10,79.0,39.1,38.5,7,1,136.5,52.0,-34.8,13.7,12.7,0.269,13.4,0.228,,,,15,,
steinpilz,5026380461,2019-10-29,52.39751,9.68988,10,54.0,39.1,2.8,8,9,154.9,22.8,38.8,13.0,12.2,0.349,12.8,0.348,,,,15,,
steinpilz,5028022858,2019-10-22,52.00962,9.91061,10,272.0,59.0,7.0,9,2,176.2,46.1,48.2,13.5,12.6,0.394,12.9,0.386,,,,15,,
steinpilz,6321025484,2019-10-14,52.47101,11.67243,10,117.0,62.4,1.1,9,5,114.8,40.7,-47.5,12.0,13.9,0.35,13.3,0.332,,,,15,,
steinpilz,5026428910,2019-10-13,51.56012,9.90161,10,165.0,57.8,4.7,11,4,133.6,42.1,-11.4,11.4,12.0,0.383,11.6,0.372,,,,15,,
steinpilz,6412321656,2019-10-13,53.34594,10.1254,10,57.0,75.8,14.5,10,1,156.2,73.3,13.9,11.0,11.7,0.261,11.5,0.245,,,,15,,
steinpilz,5022690524,2018-10-12,52.1396,9.34044,10,189.0,9.5,0.0,2,10,71.7,-16.4,-87.3,11.7,12.6,0.263,12.6,0.257,,,,15,,
steinpilz,3995327461,2017-08-20,52.09909,9.87613,8,199.0,32.9,19.6,8,2,260.8,11.6,80.5,16.8,17.8,0.367,17.6,0.362,,,,15,,
steinpilz,1668877139,2017-09-25,51.63929,10.39024,9,279.0,45.7,15.4,8,0,204.0,37.3,52.4,11.5,12.0,0.374,12.1,0.376,,,,15,,
steinpilz,5015057860,2017-09-22,52.9083,10.38201,9,101.0,44.2,2.0,8,8,207.7,20.1,59.9,12.6,12.2,0.238,12.5,0.238,,,,15,,
marone,5023221019,2017-09-22,52.9083,10.38201,9,101.0,44.2,2.0,8,8,207.7,20.1,59.9,12.6,12.2,0.238,12.5,0.238,,,,15,,
steinpilz,5020509340,2017-09-11,52.98968,11.34459,9,27.0,49.5,14.2,7,2,256.2,27.6,84.0,16.1,15.3,0.254,15.6,0.237,,,,15,,
pfifferling,5023612472,2017-09-11,52.98968,11.34459,9,27.0,49.5,14.2,7,2,256.2,27.6,84.0,16.1,15.3,0.254,15.6,0.237,,,,15,,
steinpilz,5021042028,2017-09-19,52.99113,10.29762,9,87.0,51.2,6.0,10,1,214.7,28.3,61.1,13.2,12.2,0.25,12.8,0.245,,,,15,,
steinpilz,5024608691,2017-09-27,52.49266,9.5836,9,61.0,18.7,13.6,9,1,140.6,8.6,-9.1,12.7,13.7,0.346,13.8,0.337,,,,15,,
marone,5021159059,2017-09-27,52.49266,9.5836,9,61.0,18.7,13.6,9,1,140.6,8.6,-9.1,12.7,13.7,0.346,13.8,0.337,,,,15,,
steinpilz,5026093606,2017-09-17,53.46108,9.24431,9,38.0,55.2,4.4,7,4,208.2,30.4,58.0,13.7,13.1,0.392,13.6,0.394,,,,15,,
marone,5022293596,2017-09-17,53.46108,9.24431,9,38.0,55.2,4.4,7,4,208.2,30.4,58.0,13.7,13.1,0.392,13.6,0.394,,,,15,,
birkenpilz,5015575087,2017-09-17,53.46108,9.24431,9,38.0,55.2,4.4,7,4,208.2,30.4,58.0,13.7,13.1,0.392,13.6,0.394,,,,15,,
steinpilz,5026287744,2017-09-16,53.47528,9.15234,9,30.0,52.2,15.1,9,0,210.6,37.9,58.8,13.9,13.5,0.69,13.9,0.689,,,,15,,
pfifferling,5019627433,2017-09-16,53.47528,9.15234,9,30.0,52.2,15.1,9,0,210.6,37.9,58.8,13.9,13.5,0.69,13.9,0.689,,,,15,,
birkenpilz,5016691608,2017-09-16,53.47528,9.15234,9,30.0,52.2,15.1,9,0,210.6,37.9,58.8,13.9,13.5,0.69,13.9,0.689,,,,15,,
steinpilz,5020396747,2017-10-14,51.67197,11.28613,10,354.0,41.5,0.9,8,4,115.6,24.1,-8.9,11.2,11.6,0.372,11.6,0.375,,,,15,,
parasol,5015977762,2017-10-14,51.67197,11.28613,10,354.0,41.5,0.9,8,4,115.6,24.1,-8.9,11.2,11.6,0.372,11.6,0.375,,,,15,,
steinpilz,5016812081,2017-10-01,53.45627,11.7249,10,58.0,12.8,13.9,8,0,156.1,4.1,18.5,13.0,14.3,0.379,14.3,0.376,,,,15,,
marone,5027134296,2017-10-01,53.45627,11.7249,10,58.0,12.8,13.9,8,0,156.1,4.1,18.5,13.0,14.3,0.379,14.3,0.376,,,,15,,
birkenpilz,5024584082,2017-10-01,53.45627,11.7249,10,58.0,12.8,13.9,8,0,156.1,4.1,18.5,13.0,14.3,0.379,14.3,0.376,,,,15,,
parasol,5023308966,2017-10-01,53.45627,11.7249,10,58.0,12.8,13.9,8,0,156.1,4.1,18.5,13.0,14.3,0.379,14.3,0.376,,,,15,,
steinpilz,1668892215,2017-10-03,51.77786,10.68804,10,831.0,14.8,16.8,9,0,164.8,15.0,46.8,9.5,10.6,0.396,10.7,0.396,,,,15,,
marone,2234818867,2017-10-03,51.77128,10.67826,10,831.0,14.8,16.8,9,0,164.8,15.0,46.8,9.5,10.6,0.396,10.7,0.396,,,,15,,
steinpilz,5022645240,2017-10-21,52.82284,11.50738,10,50.0,13.7,4.7,6,0,124.7,0.3,12.3,13.2,13.5,0.368,13.9,0.371,,,,15,,
marone,5020850270,2017-10-21,52.82284,11.50738,10,50.0,13.7,4.7,6,0,124.7,0.3,12.3,13.2,13.5,0.368,13.9,0.371,,,,15,,
pfifferling,5027267066,2017-10-21,52.82284,11.50738,10,50.0,13.7,4.7,6,0,124.7,0.3,12.3,13.2,13.5,0.368,13.9,0.371,,,,15,,
parasol,5020542085,2017-10-21,52.82284,11.50738,10,50.0,13.7,4.7,6,0,124.7,0.3,12.3,13.2,13.5,0.368,13.9,0.371,,,,15,,
steinpilz,5022952444,2017-10-01,53.07856,9.5521,10,46.0,18.5,17.9,8,1,143.5,15.5,7.6,13.3,14.6,0.275,14.5,0.267,,,,15,,
birkenpilz,5017557679,2017-10-01,53.07856,9.5521,10,46.0,18.5,17.9,8,1,143.5,15.5,7.6,13.3,14.6,0.275,14.5,0.267,,,,15,,
steinpilz,5016564373,2017-11-04,53.15017,9.82332,11,69.0,39.8,13.2,10,2,189.2,42.2,113.0,9.9,8.7,0.266,9.4,0.269,,,,15,,
parasol,5026343805,2017-11-04,53.15017,9.82332,11,69.0,39.8,13.2,10,2,189.2,42.2,113.0,9.9,8.7,0.266,9.4,0.269,,,,15,,
steinpilz,1453149372,2016-10-17,52.19742,10.7495,10,324.0,10.8,3.1,6,6,81.5,-0.4,-64.9,8.0,8.5,0.326,8.9,0.295,,,,15,,
steinpilz,5018327701,2016-10-23,51.82944,9.90375,10,301.0,19.9,22.1,6,1,107.8,30.7,-21.2,7.1,7.4,0.392,8.5,0.368,,,,15,,
marone,5028598686,2016-10-23,51.82944,9.90375,10,301.0,19.9,22.1,6,1,107.8,30.7,-21.2,7.1,7.4,0.392,8.5,0.368,,,,15,,
pfifferling,5026534736,2016-10-23,51.82944,9.90375,10,301.0,19.9,22.1,6,1,107.8,30.7,-21.2,7.1,7.4,0.392,8.5,0.368,,,,15,,
parasol,5021542400,2016-10-23,51.82944,9.90375,10,301.0,19.9,22.1,6,1,107.8,30.7,-21.2,7.1,7.4,0.392,8.5,0.368,,,,15,,
steinpilz,5022586280,2016-10-13,52.86556,10.22046,10,78.0,13.2,2.3,5,11,39.9,-4.6,-122.2,10.8,8.9,0.169,10.3,0.092,,,,15,,
birkenpilz,5023258302,2016-10-13,52.86556,10.22046,10,78.0,13.2,2.3,5,11,39.9,-4.6,-122.2,10.8,8.9,0.169,10.3,0.092,,,,15,,
steinpilz,1453187156,2016-11-01,51.83487,10.58161,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
steinpilz,1453187202,2016-11-01,51.8382,10.59359,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
steinpilz,1453187209,2016-11-01,51.83155,10.57904,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
steinpilz,1671717106,2016-11-01,51.81562,10.57924,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
marone,1453187211,2016-11-01,51.83593,10.58085,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
parasol,1453187206,2016-11-01,51.83313,10.58177,11,605.0,47.2,2.0,8,8,128.5,41.7,35.8,6.3,8.1,0.371,8.2,0.37,,,,15,,
steinpilz,5025508548,2015-08-07,53.09743,10.85215,8,92.0,26.5,2.2,5,11,139.2,-31.8,-94.4,18.2,21.6,0.179,20.1,0.194,,,,15,,
pfifferling,5013953955,2015-08-07,53.09743,10.85215,8,92.0,26.5,2.2,5,11,139.2,-31.8,-94.4,18.2,21.6,0.179,20.1,0.194,,,,15,,
steinpilz,1143556468,2015-09-27,52.2009,10.74974,9,312.0,36.7,0.0,8,5,164.2,12.2,-3.7,12.6,11.7,0.356,12.1,0.357,,,,15,,
steinpilz,1143548934,2015-09-20,52.26339,10.55477,9,93.0,31.3,9.0,8,1,180.7,11.3,-7.3,14.3,14.4,0.388,14.8,0.376,,,,15,,
parasol,1143548869,2015-09-20,52.26294,10.55617,9,93.0,31.3,9.0,8,1,180.7,11.3,-7.3,14.3,14.4,0.388,14.8,0.376,,,,15,,
steinpilz,5013833330,2015-09-18,53.06897,11.43843,9,67.0,29.4,12.5,9,1,144.2,10.1,-52.8,14.6,15.6,0.481,15.5,0.463,,,,15,,
parasol,5021416319,2015-09-18,53.0503,11.41102,9,67.0,29.4,12.5,9,1,144.2,10.1,-52.8,14.6,15.6,0.481,15.5,0.463,,,,15,,
steinpilz,5020419654,2015-09-17,52.98968,11.34459,9,27.0,27.6,20.2,10,0,165.9,16.2,-33.4,14.9,16.1,0.271,15.9,0.251,,,,15,,
pfifferling,5021281393,2015-09-17,52.98968,11.34459,9,27.0,27.6,20.2,10,0,165.9,16.2,-33.4,14.9,16.1,0.271,15.9,0.251,,,,15,,
steinpilz,5015124843,2015-09-22,52.97118,10.27462,9,96.0,29.8,12.0,9,0,223.5,16.6,54.0,14.0,13.6,0.264,14.0,0.261,,,,15,,
marone,5015006454,2015-09-22,52.97118,10.27462,9,96.0,29.8,12.0,9,0,223.5,16.6,54.0,14.0,13.6,0.264,14.0,0.261,,,,15,,
steinpilz,5014503975,2015-09-25,52.86556,10.22046,9,78.0,38.1,8.0,9,3,221.3,22.1,55.5,14.1,13.2,0.261,13.5,0.26,,,,15,,
marone,5013432244,2015-09-25,52.86556,10.22046,9,78.0,38.1,8.0,9,3,221.3,22.1,55.5,14.1,13.2,0.261,13.5,0.26,,,,15,,
steinpilz,5022978403,2015-09-02,52.77644,10.26827,9,78.0,27.9,9.2,7,1,245.4,-6.2,35.8,18.3,18.8,0.25,18.6,0.243,,,,15,,
steinpilz,5014428289,2015-10-10,53.32457,11.54526,10,61.0,2.6,14.2,3,2,135.7,-4.4,-0.4,10.5,10.9,0.243,11.5,0.226,,,,15,,
steinpilz,5018943629,2015-10-10,53.31675,11.5474,10,61.0,2.6,14.2,3,2,135.7,-4.4,-0.4,10.5,10.9,0.243,11.5,0.226,,,,15,,
marone,5016187074,2015-10-10,53.32457,11.54526,10,61.0,2.6,14.2,3,2,135.7,-4.4,-0.4,10.5,10.9,0.243,11.5,0.226,,,,15,,
marone,5023643577,2015-10-10,53.27327,11.54386,10,61.0,2.6,14.2,3,2,135.7,-4.4,-0.4,10.5,10.9,0.243,11.5,0.226,,,,15,,
pfifferling,5027329851,2015-10-10,53.32457,11.54526,10,61.0,2.6,14.2,3,2,135.7,-4.4,-0.4,10.5,10.9,0.243,11.5,0.226,,,,15,,
steinpilz,1671716585,2015-10-03,51.86926,10.59978,10,561.0,9.0,0.0,3,11,162.5,-14.1,15.6,9.3,8.7,0.313,9.2,0.325,,,,15,,
birkenpilz,1306573504,2015-10-03,51.87478,10.59184,10,561.0,9.0,0.0,3,11,162.5,-14.1,15.6,9.3,8.7,0.313,9.2,0.325,,,,15,,
sommersteinpilz,6352341531,2026-06-01,51.90274,10.18162,6,198.0,12.3,18.9,6,1,173.2,-32.6,-8.4,16.2,16.2,0.193,15.2,0.231,,,,15,,
sommersteinpilz,6400003363,2026-06-12,51.71657,11.07927,6,414.0,30.5,7.6,11,0,183.3,-17.0,-13.0,15.2,14.2,0.261,13.9,0.273,,,,15,,
sommersteinpilz,6411156216,2026-06-21,53.49197,11.89883,6,63.0,29.1,7.8,11,2,121.2,-16.5,-88.5,16.5,19.8,0.173,17.3,0.149,,,,15,,
sommersteinpilz,6410744928,2026-06-17,53.12907,9.90428,6,104.0,55.0,5.8,11,3,154.8,13.0,-46.7,14.3,14.5,0.186,14.2,0.129,,,,15,,
sommersteinpilz,6410637609,2026-06-20,53.2897,10.9247,6,30.0,34.3,10.0,9,1,145.4,-10.8,-68.4,16.4,18.2,0.349,16.2,0.307,,,,15,,
sommersteinpilz,6411471586,2026-06-10,53.08725,11.09972,6,13.0,30.4,10.9,6,1,145.4,-18.6,-56.6,16.5,16.3,0.316,15.6,0.285,,,,15,,
sommersteinpilz,6412036297,2026-06-09,51.91916,9.93808,6,180.0,34.4,5.1,8,0,175.5,-23.7,-25.1,16.7,16.4,0.157,15.8,0.14,,,,15,,
sommersteinpilz,6411713169,2026-06-11,52.63131,10.09736,6,55.0,40.6,8.9,11,0,168.6,-8.6,-39.3,16.4,16.7,0.101,16.3,0.049,,,,15,,
sommersteinpilz,6411788488,2026-06-21,52.98412,9.84099,6,61.0,32.5,7.3,10,1,162.6,-13.6,-44.4,16.3,19.6,0.234,17.7,0.252,,,,15,,
sommersteinpilz,6412170630,2026-06-09,53.14,10.21,6,43.0,31.3,16.0,9,0,163.9,-10.6,-31.3,16.2,15.3,0.183,14.9,0.101,,,,15,,
sommersteinpilz,6412572523,2026-06-15,51.71697,11.21429,6,268.0,19.8,8.2,9,2,185.7,-24.3,-13.6,14.5,13.4,0.26,13.3,0.263,,,,15,,
schwefelporling,6412521141,2026-06-15,51.71312,11.20701,6,268.0,19.8,8.2,9,2,185.7,-24.3,-13.6,14.5,13.4,0.26,13.3,0.263,,,,15,,
sommersteinpilz,6412039941,2026-06-08,51.94787,9.25726,6,222.0,41.8,6.2,7,2,194.6,-10.1,6.6,16.2,15.0,0.328,14.8,0.315,,,,15,,
sommersteinpilz,6412492767,2026-06-14,53.19818,10.85664,6,61.0,35.1,22.2,10,0,163.8,5.8,-42.0,15.3,14.2,0.195,14.2,0.115,,,,15,,
sommersteinpilz,6412891455,2026-06-14,51.67973,10.04821,6,154.0,53.3,19.7,13,1,220.0,22.1,18.9,15.3,14.7,0.204,14.5,0.176,,,,15,,
sommersteinpilz,6413860846,2026-06-17,52.26275,10.55672,6,95.0,36.0,2.2,10,5,175.2,-16.5,-40.2,15.8,16.7,0.12,16.0,0.156,,,,15,,
sommersteinpilz,5206497442,2025-06-22,51.53799,10.0492,6,443.0,16.8,0.0,3,12,140.9,-47.7,-68.6,15.8,17.2,0.15,15.9,0.18,,,,15,,
sommersteinpilz,5206576932,2025-06-18,51.51864,10.16155,6,275.0,35.7,0.8,6,8,144.2,-21.2,-61.6,16.6,19.0,0.16,17.3,0.184,,,,15,,
sommersteinpilz,5206680589,2025-06-21,53.09869,9.84887,6,85.0,30.4,0.1,5,6,102.6,-32.3,-118.7,16.6,18.6,0.071,17.5,0.099,,,,15,,
sommersteinpilz,5230260787,2025-06-16,53.47176,9.69115,6,7.0,54.3,1.2,8,6,152.9,2.5,-38.3,15.4,16.9,0.283,15.7,0.305,,,,15,,
sommersteinpilz,5282690863,2025-07-28,53.19851,10.85661,7,52.0,69.1,22.4,11,1,205.4,47.5,-32.5,18.5,18.1,0.27,17.7,0.241,,,,15,,
sommersteinpilz,5283555964,2025-07-29,52.38567,9.70467,7,58.0,51.5,15.4,10,2,180.5,19.3,-72.9,18.9,18.9,0.277,18.9,0.191,,,,15,,
sommersteinpilz,6410552390,2025-07-27,51.97861,9.76948,7,231.0,38.7,21.1,11,0,176.9,10.5,-75.0,18.2,18.4,0.219,18.1,0.163,,,,15,,
sommersteinpilz,6410591741,2025-07-27,53.21462,10.42739,7,39.0,59.3,25.0,12,0,192.2,40.9,-45.4,18.7,18.3,0.251,18.2,0.199,,,,15,,
sommersteinpilz,6411645229,2025-07-27,51.59277,9.95801,7,230.0,35.4,21.2,12,0,145.8,4.8,-105.5,18.4,18.8,0.189,18.3,0.171,,,,15,,
sommersteinpilz,6410698342,2025-07-26,51.8853,10.54415,7,257.0,48.9,4.0,13,5,130.3,3.3,-109.3,17.8,18.2,0.282,17.9,0.252,,,,15,,
sommersteinpilz,6411942513,2025-07-29,53.19852,10.85661,7,52.0,80.3,11.9,12,2,204.9,48.9,-33.0,18.3,18.1,0.261,17.7,0.25,,,,15,,
sommersteinpilz,6412065035,2025-07-31,53.18374,11.10907,7,14.0,76.1,14.8,13,0,201.5,48.3,-39.3,18.3,17.6,0.458,17.6,0.45,,,,15,,
sommersteinpilz,5283221328,2025-08-02,53.47572,10.68048,8,22.0,61.5,34.0,13,1,213.8,52.8,-12.8,17.9,16.7,0.232,16.6,0.214,,,,15,,
sommersteinpilz,5282008908,2025-08-01,53.22557,10.91019,8,25.0,77.4,13.8,13,1,223.1,47.5,-16.9,18.2,17.2,0.448,17.2,0.436,,,,15,,
sommersteinpilz,5292038723,2025-08-06,52.26376,10.58189,8,86.0,37.9,10.1,11,2,146.2,1.7,-96.1,17.3,17.1,0.278,17.0,0.202,,,,15,,
sommersteinpilz,5897010107,2025-08-01,53.15382,10.42026,8,82.0,69.6,21.8,13,0,200.5,48.3,-30.2,18.0,16.7,0.24,16.7,0.218,,,,15,,
sommersteinpilz,6411849430,2025-08-07,53.27336,10.26081,8,23.0,56.1,7.6,11,3,203.1,20.4,-21.2,17.1,16.8,0.212,16.5,0.206,,,,15,,
parasol,6411206703,2025-08-07,53.27332,10.26094,8,23.0,56.1,7.6,11,3,203.1,20.4,-21.2,17.1,16.8,0.212,16.5,0.206,,,,15,,
sommersteinpilz,5902471224,2025-09-20,52.17591,9.44513,9,143.0,25.9,7.7,7,2,114.9,-5.2,-75.4,16.0,15.9,0.257,15.5,0.164,,,,15,,
sommersteinpilz,5888996681,2025-11-02,52.53001,10.23067,11,58.0,40.0,9.7,11,3,112.4,35.1,5.6,9.7,9.1,0.254,9.3,0.239,,,,15,,
birkenpilz,5888992413,2025-11-02,52.53001,10.23067,11,58.0,40.0,9.7,11,3,112.4,35.1,5.6,9.7,9.1,0.254,9.3,0.239,,,,15,,
parasol,5888994424,2025-11-02,52.53001,10.23067,11,58.0,40.0,9.7,11,3,112.4,35.1,5.6,9.7,9.1,0.254,9.3,0.239,,,,15,,
sommersteinpilz,4931806653,2024-06-21,52.36111,9.82833,6,72.0,20.3,17.6,7,0,110.8,-16.0,-103.1,15.3,17.5,0.289,16.7,0.245,,,,15,,
sommersteinpilz,5014496204,2024-06-22,51.67319,11.14941,6,340.0,19.4,8.4,8,3,154.2,-26.6,-52.3,15.0,16.5,0.282,15.6,0.234,,,,15,,
sommersteinpilz,4901784425,2024-06-24,51.60065,10.15526,6,239.0,28.0,6.0,7,3,137.1,-17.2,-72.6,15.7,17.4,0.333,16.7,0.275,,,,15,,
sommersteinpilz,5025464703,2024-06-10,51.73724,11.09671,6,222.0,64.4,1.4,8,8,139.5,17.6,-54.3,14.9,15.3,0.281,15.0,0.307,,,,15,,
sommersteinpilz,6262217794,2024-06-30,53.1,10.9,6,116.0,23.8,27.4,7,0,190.1,-8.9,-44.8,18.7,21.6,0.202,20.5,0.189,,,,15,,
sommersteinpilz,6412822652,2024-06-06,52.98373,9.8412,6,61.0,53.6,4.2,9,6,155.2,8.4,-43.0,15.7,16.0,0.362,15.7,0.367,,,,15,,
sommersteinpilz,4945598946,2024-07-19,51.87293,9.30389,7,293.0,19.5,3.9,6,7,194.8,-35.8,-17.1,18.3,18.9,0.313,18.2,0.294,,,,15,,
sommersteinpilz,5087096568,2024-07-19,51.51591,10.15203,7,201.0,24.6,6.3,5,3,194.0,-29.8,-21.3,18.5,19.1,0.329,18.3,0.318,,,,15,,
sommersteinpilz,4921866249,2024-08-04,51.84385,10.6544,8,401.0,49.6,26.2,10,2,173.3,22.5,-47.7,18.3,19.4,0.361,18.9,0.358,,,,15,,
sommersteinpilz,4921731827,2024-08-04,51.84104,10.64479,8,428.0,49.6,26.2,10,2,173.3,22.5,-47.8,18.3,19.4,0.361,18.9,0.358,,,,15,,
pfifferling,4922002710,2024-08-04,51.84121,10.64497,8,428.0,49.6,26.2,10,2,173.3,22.5,-47.8,18.3,19.4,0.361,18.9,0.358,,,,15,,
sommersteinpilz,5015454304,2024-08-04,52.13075,9.62505,8,368.0,48.1,14.1,9,2,164.1,9.0,-56.7,17.9,19.1,0.339,18.5,0.33,,,,15,,
pfifferling,5027188814,2024-08-04,52.13075,9.62505,8,368.0,48.1,14.1,9,2,164.1,9.0,-56.7,17.9,19.1,0.339,18.5,0.33,,,,15,,
sommersteinpilz,5021072562,2024-08-31,51.66692,10.92265,8,523.0,8.6,3.6,4,1,128.0,-41.5,-100.2,18.2,18.8,0.218,18.6,0.242,,,,15,,
sommersteinpilz,5108035237,2024-08-05,51.50665,10.15375,8,269.0,62.9,17.4,8,1,191.9,25.0,-38.2,18.9,19.9,0.373,19.6,0.372,,,,15,,
sommersteinpilz,5104303649,2024-08-02,51.59172,10.03436,8,301.0,46.6,22.4,8,0,176.6,11.5,-49.2,19.2,19.7,0.364,19.1,0.367,,,,15,,
sommersteinpilz,4127164979,2023-05-24,51.52127,10.16918,5,221.0,23.7,3.4,6,13,125.0,-18.2,-20.5,12.9,14.0,0.297,13.1,0.298,,,,15,,
sommersteinpilz,4145522535,2023-06-17,51.50852,10.15492,6,269.0,12.6,1.8,3,9,75.4,-59.7,-138.9,17.6,18.0,0.206,17.3,0.216,,,,15,,
sommersteinpilz,4440996359,2023-06-06,51.91589,9.93859,6,177.0,3.5,0.5,2,99,67.4,-56.0,-111.2,13.7,15.9,0.162,14.9,0.203,,,,15,,
sommersteinpilz,4145728212,2023-07-03,51.50113,10.14705,7,295.0,68.2,10.4,7,2,131.9,20.6,-106.3,18.9,17.1,0.342,17.0,0.329,,,,15,,
sommersteinpilz,5015239848,2023-06-11,53.47871,9.88641,6,6.0,0.6,0.0,0,99,63.4,-70.6,-143.2,16.1,20.3,0.276,18.4,0.309,,,,15,,
sommersteinpilz,5901273382,2023-06-11,53.47873,9.88651,6,6.0,0.6,0.0,0,99,63.4,-70.6,-143.2,16.1,20.3,0.276,18.4,0.309,,,,15,,
sommersteinpilz,4145739718,2023-07-02,52.12633,10.39713,7,102.0,79.1,13.0,9,2,120.2,32.3,-119.6,19.7,18.5,0.302,18.5,0.281,,,,15,,
sommersteinpilz,4153564000,2023-07-10,51.5013,10.15069,7,283.0,20.1,0.6,5,5,122.3,-42.6,-127.5,18.5,19.4,0.318,18.4,0.317,,,,15,,
sommersteinpilz,4153702670,2023-07-07,51.50809,10.15361,7,276.0,35.6,6.6,6,2,132.6,-16.7,-111.6,17.7,17.1,0.34,16.7,0.328,,,,15,,
sommersteinpilz,4153715638,2023-07-07,51.51595,10.15178,7,276.0,35.6,6.6,6,2,132.6,-16.7,-111.6,17.7,17.1,0.34,16.7,0.328,,,,15,,
sommersteinpilz,4162025607,2023-07-12,51.50082,10.14753,7,293.0,17.9,2.3,5,7,109.3,-44.5,-146.8,18.9,21.1,0.299,19.8,0.31,,,,15,,
sommersteinpilz,4162035180,2023-07-12,51.51501,10.15153,7,201.0,17.9,2.3,5,7,109.3,-44.4,-146.3,18.9,21.1,0.299,19.8,0.31,,,,15,,
sommersteinpilz,5108059811,2023-07-12,51.51618,10.15259,7,201.0,17.9,2.3,5,7,109.3,-44.4,-146.3,18.9,21.1,0.299,19.8,0.31,,,,15,,
sommersteinpilz,4165443688,2023-07-08,53.15716,9.96339,7,145.0,29.2,6.4,8,3,157.2,-24.3,-99.3,18.0,17.8,0.213,17.2,0.194,,,,15,,
sommersteinpilz,4408880868,2023-07-05,52.08917,9.97445,7,155.0,85.2,3.2,9,4,118.0,28.9,-128.2,18.7,18.1,0.263,18.1,0.24,,,,15,,
sommersteinpilz,4440635826,2023-07-11,51.85302,10.54988,7,451.0,26.2,4.2,8,1,151.7,-28.7,-83.5,17.4,19.7,0.287,18.4,0.296,,,,15,,
sommersteinpilz,4855284491,2023-07-16,52.99987,9.84093,7,76.0,26.6,16.2,8,1,115.4,-26.4,-151.4,19.5,20.7,0.286,20.1,0.251,,,,15,,
sommersteinpilz,5017568288,2023-07-10,52.09486,9.92649,7,154.0,16.9,1.2,7,9,111.8,-47.8,-145.9,19.2,21.2,0.211,19.9,0.217,,,,15,,
