id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0070,52.1401,10.484,6.87,21.17,21.3,31.1,47.6,31.03,3.06
W0071,52.1401,10.5135,6.63,22.07,22.37,33.17,44.47,32.27,3.47
W0073,52.1401,10.5726,6.73,22.67,31.23,31.07,37.67,33.3,3.48
W0074,52.1401,10.6317,5.4,23.37,28.7,23.07,48.23,51.87,3.69
W0075,52.1401,10.6612,5.47,20.8,25.83,28.93,45.3,54.2,3.28
W0076,52.1401,10.6908,6.87,23.7,33.47,24.8,41.7,33.43,4.14
W0077,52.1401,10.7203,7.0,22.43,31.87,29.87,38.3,34.3,4.09
W0078,52.1401,10.868,6.83,21.33,30.17,27.97,41.87,29.13,3.41
W0079,52.1401,10.8975,6.77,21.73,24.73,31.9,43.37,29.13,3.17
W0080,52.1401,10.9271,5.23,21.23,19.03,29.0,51.97,44.63,3.44
W0082,52.1401,11.0452,6.73,22.37,34.5,25.3,40.17,33.67,3.72
W0083,52.1581,10.3658,6.7,22.8,21.27,30.3,48.43,33.5,3.04
W0088,52.1581,10.5431,5.73,21.57,27.53,30.83,41.63,48.27,4.41
W0089,52.1581,10.6317,6.83,21.83,29.17,26.8,44.07,34.1,3.27
W0090,52.1581,10.8384,5.13,20.1,21.3,30.93,47.73,39.6,2.89
W0091,52.1581,10.868,5.1,20.33,20.07,29.67,50.27,37.43,2.93
W0092,52.1581,10.8975,5.2,20.17,21.23,25.73,53.03,37.97,3.01
W0093,52.1581,10.9271,5.2,19.37,16.2,25.67,58.13,44.8,2.74
W0095,52.1581,10.9861,6.57,22.97,32.97,26.0,41.07,39.23,3.59
W0096,52.1581,11.0157,6.07,23.6,37.43,27.53,35.03,43.57,3.75
W0097,52.1581,11.0452,6.8,22.67,38.73,23.1,38.2,34.6,3.83
W0098,52.1581,11.1043,5.2,23.97,38.47,19.77,41.8,47.43,3.73
W0099,52.1761,10.2182,5.5,20.53,21.6,29.0,49.37,48.37,3.18
W0100,52.1761,10.3658,6.73,23.4,22.43,29.97,47.6,30.07,3.18
W0101,52.1761,10.4249,6.57,23.43,31.83,22.43,45.73,49.9,3.14
W0102,52.1761,10.4545,5.47,21.63,27.0,27.9,45.13,43.97,3.34
W0105,52.1761,10.7794,6.7,21.93,32.37,26.9,40.7,32.3,3.16
W0106,52.1761,10.8089,5.2,21.8,29.3,30.43,40.27,50.07,4.16
W0107,52.1761,10.8384,5.07,20.37,20.63,29.47,49.9,40.03,3.17
W0108,52.1761,10.868,5.03,21.3,19.27,33.9,46.87,41.1,3.2
W0109,52.1761,10.8975,5.17,21.27,17.7,26.03,56.27,46.23,3.49
W0110,52.1761,10.9271,6.47,22.67,25.33,17.87,56.77,35.2,3.36
W0111,52.1761,10.9566,6.73,23.23,37.73,20.37,41.9,33.8,3.9
W0112,52.1761,10.9861,6.57,24.63,39.1,20.83,40.07,50.97,4.56
W0113,52.1761,11.0157,6.67,22.7,35.13,22.3,42.53,32.5,3.71
W0114,52.1761,11.0452,6.6,23.03,32.9,20.8,46.3,32.5,3.56
W0115,52.1761,11.1043,5.67,24.77,32.03,21.57,46.43,48.97,4.0
W0117,52.1941,10.3068,6.63,20.73,13.67,25.37,60.97,28.73,3.37
W0118,52.1941,10.3363,6.73,21.63,17.1,27.8,55.1,30.07,2.74
W0119,52.1941,10.5431,5.37,23.5,36.83,23.77,39.43,45.83,4.16
W0120,52.1941,10.6317,6.7,21.57,33.0,25.77,41.23,39.37,4.33
W0121,52.1941,10.6908,6.7,21.7,26.17,25.53,48.3,29.27,2.98
W0122,52.1941,10.7203,6.47,19.47,25.23,26.07,48.73,33.3,2.9
W0123,52.1941,10.7498,5.53,19.77,22.4,32.87,44.8,61.63,3.65
W0124,52.1941,10.7794,5.27,18.83,21.9,29.37,48.77,43.63,3.32
W0125,52.1941,10.8089,5.33,18.27,21.1,32.0,46.93,53.9,3.26
W0126,52.1941,10.8384,4.9,20.0,18.97,28.13,52.9,36.27,2.92
W0127,52.1941,10.868,6.47,22.17,35.2,21.63,43.17,32.23,3.58
W0128,52.1941,10.9271,5.93,22.87,38.47,20.77,40.77,43.8,4.49
W0129,52.1941,10.9566,5.07,21.97,34.1,23.8,42.1,44.43,4.47
W0131,52.1941,11.0747,5.2,21.77,29.03,20.63,50.37,43.0,3.38
W0132,52.1941,11.1043,6.6,21.77,34.07,15.7,50.23,33.4,3.47
W0133,52.2122,10.3363,5.9,21.53,13.27,25.6,61.1,37.07,2.88
W0134,52.2122,10.5431,5.8,23.37,34.33,27.13,38.57,37.8,5.69
W0135,52.2122,10.5726,6.1,24.13,31.77,23.2,45.0,42.03,3.32
W0136,52.2122,10.6021,6.67,24.4,30.07,26.17,43.77,32.87,4.23
W0137,52.2122,10.7203,5.3,22.63,25.57,33.03,41.4,41.97,3.47
W0138,52.2122,10.7498,5.4,20.63,26.43,31.33,42.17,55.13,3.7
W0139,52.2122,10.7794,5.37,21.1,23.17,28.4,48.43,56.77,3.63
W0140,52.2122,10.8089,5.3,18.6,21.9,27.67,50.43,51.03,3.43
W0141,52.2122,10.8384,5.33,21.1,22.67,26.6,50.73,35.43,2.95
W0142,52.2122,10.8975,5.0,23.07,33.3,19.53,47.23,45.87,3.89
