datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-07-01,W0001,52.05,10.1,,4.6,19.9,21.1,0.199,20.8,0.15,4.82,era5
2026-07-02,W0001,52.05,10.1,,0.2,19.5,20.6,0.137,19.8,0.15,4.87,era5
2026-07-03,W0001,52.05,10.1,,0.5,17.3,18.9,0.148,19.1,0.15,4.45,era5
2026-07-04,W0001,52.05,10.1,,3.9,16.3,17.1,0.152,17.8,0.15,2.79,era5
2026-07-05,W0001,52.05,10.1,,4.6,18.0,18.6,0.176,17.9,0.15,3.69,era5
2026-07-06,W0001,52.05,10.1,,3.9,18.1,17.8,0.193,17.8,0.15,2.75,era5
2026-07-07,W0001,52.05,10.1,,1.4,20.0,19.5,0.19,18.3,0.151,4.33,era5
2026-07-08,W0001,52.05,10.1,,1.0,18.4,19.4,0.173,18.6,0.15,5.15,era5
2026-07-09,W0001,52.05,10.1,,0.4,17.3,18.5,0.148,18.4,0.138,3.03,era5
2026-07-10,W0001,52.05,10.1,,0.0,19.6,20.8,0.135,18.7,0.137,4.9,era5
2026-07-11,W0001,52.05,10.1,,0.0,22.1,22.7,0.124,20.1,0.137,5.79,era5
2026-07-12,W0001,52.05,10.1,,0.0,23.2,23.7,0.124,21.2,0.137,6.33,era5
2026-07-13,W0001,52.05,10.1,,0.8,23.0,24.3,0.112,21.9,0.137,6.03,era5
2026-07-14,W0001,52.05,10.1,,7.7,20.0,21.5,0.179,21.4,0.137,4.35,era5
2026-07-15,W0001,52.05,10.1,,0.0,20.7,21.3,0.16,20.1,0.137,5.54,era5
2026-07-16,W0001,52.05,10.1,,0.4,21.9,22.7,0.146,20.6,0.137,5.39,era5
2026-07-17,W0001,52.05,10.1,,0.7,22.5,22.3,0.163,20.8,0.137,4.89,era5
2026-07-18,W0001,52.05,10.1,,0.0,19.2,20.7,0.16,20.2,0.137,4.65,era5
2026-07-19,W0001,52.05,10.1,,3.3,15.9,17.9,0.18,18.9,0.138,3.37,era5
2026-07-20,W0001,52.05,10.1,,1.2,15.1,16.5,0.204,17.2,0.138,3.2,era5
2026-07-21,W0001,52.05,10.1,,0.5,16.5,17.3,0.2,16.9,0.139,4.38,era5
2026-07-22,W0001,52.05,10.1,,1.4,15.8,16.7,0.166,16.9,0.139,3.11,era5
2026-07-23,W0001,52.05,10.1,,0.3,15.7,16.8,0.164,16.6,0.14,3.42,era5
2026-07-24,W0001,52.05,10.1,,0.0,16.5,17.4,0.145,16.1,0.14,4.62,era5
2026-07-25,W0001,52.05,10.1,,0.0,20.1,19.8,0.136,17.1,0.14,5.68,era5
2026-07-26,W0001,52.05,10.1,,8.7,20.0,20.3,0.138,18.6,0.14,4.04,era5
2026-07-01,W0002,52.05,10.1591,,4.6,19.9,21.1,0.199,20.8,0.15,4.83,era5
2026-07-02,W0002,52.05,10.1591,,0.2,19.5,20.6,0.137,19.8,0.15,4.88,era5
2026-07-03,W0002,52.05,10.1591,,0.5,17.3,18.9,0.148,19.1,0.15,4.45,era5
2026-07-04,W0002,52.05,10.1591,,3.9,16.3,17.1,0.152,17.8,0.15,2.79,era5
2026-07-05,W0002,52.05,10.1591,,4.6,18.0,18.6,0.176,17.9,0.15,3.69,era5
2026-07-06,W0002,52.05,10.1591,,3.9,18.1,17.8,0.193,17.8,0.15,2.75,era5
2026-07-07,W0002,52.05,10.1591,,1.4,20.0,19.5,0.19,18.3,0.151,4.34,era5
2026-07-08,W0002,52.05,10.1591,,1.0,18.4,19.4,0.173,18.6,0.15,5.15,era5
2026-07-09,W0002,52.05,10.1591,,0.4,17.3,18.5,0.148,18.4,0.138,3.03,era5
2026-07-10,W0002,52.05,10.1591,,0.0,19.6,20.8,0.135,18.7,0.137,4.9,era5
2026-07-11,W0002,52.05,10.1591,,0.0,22.1,22.7,0.124,20.1,0.137,5.79,era5
2026-07-12,W0002,52.05,10.1591,,0.0,23.2,23.7,0.124,21.2,0.137,6.33,era5
2026-07-13,W0002,52.05,10.1591,,0.8,23.0,24.3,0.112,21.9,0.137,6.04,era5
2026-07-14,W0002,52.05,10.1591,,7.7,20.0,21.5,0.179,21.4,0.137,4.36,era5
2026-07-15,W0002,52.05,10.1591,,0.0,20.7,21.3,0.16,20.1,0.137,5.54,era5
2026-07-16,W0002,52.05,10.1591,,0.4,21.9,22.7,0.146,20.6,0.137,5.39,era5
2026-07-17,W0002,52.05,10.1591,,0.7,22.5,22.3,0.163,20.8,0.137,4.89,era5
2026-07-18,W0002,52.05,10.1591,,0.0,19.2,20.7,0.16,20.2,0.137,4.66,era5
2026-07-19,W0002,52.05,10.1591,,3.3,15.9,17.9,0.18,18.9,0.138,3.37,era5
2026-07-20,W0002,52.05,10.1591,,1.2,15.1,16.5,0.204,17.2,0.138,3.2,era5
2026-07-21,W0002,52.05,10.1591,,0.5,16.5,17.3,0.2,16.9,0.139,4.39,era5
2026-07-22,W0002,52.05,10.1591,,1.4,15.8,16.7,0.166,16.9,0.139,3.11,era5
2026-07-23,W0002,52.05,10.1591,,0.3,15.7,16.8,0.164,16.6,0.14,3.42,era5
